Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Fronton,17/03,12pm,4-6ft,5.5ft,NNE,14,9s,18,NNE,Onshore,13,14°c,Good
Fronton,17/03,6pm,4-6ft,5.5ft,NNE,15,9s,20,N,Onshore,3,13°c,Good
Fronton,18/03,6am,4-6ft,5.5ft,N,7,9s,18,NNW,Onshore,339,11°c,Good
Fronton,18/03,12pm,4-6ft,5.5ft,N,5,9s,16,N,Onshore,349,15°c,Good
Fronton,18/03,6pm,4-7ft,6.5ft,N,2,9s,24,NNW,Onshore,328,14°c,Good
Fronton,19/03,6am,5-8ft,7.5ft,N,3,10s,25,NW,Onshore,325,13°c,Good
Fronton,19/03,12pm,5-8ft,7ft,N,1,10s,24,NNW,Onshore,336,17°c,Good
Fronton,19/03,6pm,4-7ft,6.5ft,N,2,9s,15,NNW,Onshore,340,16°c,Good
Fronton,20/03,6am,4-6ft,5.5ft,N,6,9s,18,NNW,Onshore,340,13°c,Good
Fronton,20/03,12pm,4-6ft,5ft,N,8,9s,15,NNW,Onshore,347,16°c,Good
Fronton,20/03,6pm,3-5ft,3ft,NNW,338,14s,15,N,Onshore,0,15°c,Good
Fronton,21/03,6am,3-4ft,3ft,NNW,341,14s,13,N,Onshore,10,11°c,Good
Fronton,21/03,12pm,3-5ft,4ft,NNW,346,13s,13,NNE,Onshore,12,14°c,Good
Fronton,21/03,6pm,5-7ft,5.5ft,N,357,12s,12,NNW,Onshore,347,14°c,Good
Fronton,22/03,6am,4-7ft,5.5ft,N,359,12s,14,NW,Onshore,322,11°c,Good
Fronton,22/03,12pm,4-7ft,5.5ft,N,358,11s,10,NW,Onshore,326,15°c,Good
Fronton,22/03,6pm,4-6ft,5ft,N,357,11s,4,NNE,Onshore,29,15°c,Good
Fronton,23/03,6am,5-7ft,7ft,NNW,340,10s,35,WNW,Onshore,298,11°c,Good
Fronton,23/03,12pm,6-9ft,9.5ft,NNW,340,11s,26,NNW,Onshore,342,14°c,Good
Fronton,23/03,6pm,5-8ft,8ft,NNW,344,10s,24,NNW,Onshore,342,14°c,Good
Fronton,24/03,6am,4-7ft,6ft,NNW,348,10s,19,NNW,Onshore,328,12°c,Good
Fronton,24/03,12pm,4-6ft,5ft,NNW,349,10s,18,NNW,Onshore,329,16°c,Good
Fronton,24/03,6pm,3-5ft,4.5ft,N,357,9s,17,NNW,Onshore,336,16°c,Good
Fronton,25/03,6am,3-5ft,4ft,N,0,9s,9,NNW,Onshore,341,12°c,Good
Fronton,25/03,12pm,3-5ft,4ft,N,360,9s,5,NNE,Onshore,29,15°c,Good
Fronton,25/03,6pm,3-4ft,3.5ft,N,3,9s,5,NE,Onshore,39,14°c,Good
Fronton,26/03,6am,2-4ft,3ft,N,9,8s,5,NNE,Onshore,20,12°c,Good
Fronton,26/03,12pm,2-4ft,2.5ft,NNW,328,14s,5,NNE,Onshore,27,15°c,Good
Fronton,26/03,6pm,3-4ft,3ft,NNW,329,15s,5,NNE,Onshore,34,13°c,Good
Fronton,27/03,6am,3-5ft,3.5ft,NNW,331,13s,9,NW,Onshore,314,11°c,Good
Fronton,27/03,12pm,3-5ft,4ft,NNW,332,13s,7,N,Onshore,358,17°c,Good
Fronton,27/03,6pm,4-6ft,4ft,NNW,334,14s,2,ENE,Cross/Onshore,73,14°c,Good
Fronton,28/03,6am,4-6ft,4.5ft,NNW,336,13s,15,NW,Onshore,313,12°c,Good
Fronton,28/03,12pm,4-6ft,4ft,NNW,339,13s,7,N,Onshore,6,16°c,Good
Fronton,28/03,6pm,3-5ft,3.5ft,NNW,340,13s,8,N,Onshore,6,15°c,Good
Fronton,29/03,6am,2-4ft,2.5ft,NNW,341,12s,5,N,Onshore,357,12°c,Good
Fronton,29/03,12pm,2-3ft,2.5ft,NNW,343,12s,3,ENE,Cross/Onshore,70,17°c,Good
Fronton,29/03,6pm,1-2ft,1.5ft,NNW,334,11s,4,NNE,Onshore,26,15°c,Good
Fronton,30/03,6am,1-2ft,1.6ft,N,355,9s,1,W,Cross-shore,273,12°c,Good
Fronton,30/03,12pm,1-2ft,1.4ft,NW,313,12s,6,SE,Offshore,135,19°c,Good
Fronton,30/03,6pm,1-2ft,1.3ft,NW,314,11s,7,N,Onshore,354,17°c,Good
Fronton,31/03,6am,2-3ft,2ft,NW,325,10s,7,NNW,Onshore,331,13°c,Good
Fronton,31/03,12pm,2-3ft,3ft,NNW,328,10s,7,NNE,Onshore,15,18°c,Good
Fronton,31/03,6pm,2-4ft,2ft,N,3,15s,6,N,Onshore,7,16°c,Good
Fronton,01/04,6am,5-8ft,6ft,N,6,13s,7,N,Onshore,10,14°c,Not recommended
Fronton,01/04,12pm,5-8ft,6ft,N,4,13s,4,NE,Onshore,55,17°c,Not recommended
Fronton,01/04,6pm,5-7ft,5.5ft,N,6,12s,3,NE,Onshore,48,16°c,Not recommended
Fronton,02/04,6am,4-6ft,4.5ft,N,7,11s,9,NNE,Onshore,26,13°c,Not recommended
Fronton,02/04,12pm,4-6ft,4.5ft,N,9,11s,5,ENE,Cross/Onshore,72,17°c,Not recommended
Fronton,02/04,6pm,4-6ft,4.5ft,N,7,13s,5,NE,Onshore,45,16°c,Not recommended
Fronton,03/04,6am,3-5ft,4ft,N,8,11s,2,SSE,Offshore,148,13°c,Not recommended
Fronton,03/04,12pm,3-5ft,3.5ft,N,7,11s,7,SE,Offshore,128,19°c,Not recommended
Fronton,03/04,6pm,3-4ft,3ft,N,7,10s,6,N,Onshore,359,18°c,Not recommended
Fronton,04/04,6am,2-3ft,2.5ft,N,9,10s,3,WSW,Cross/Offshore,252,15°c,Not recommended
Fronton,04/04,12pm,2-3ft,2ft,N,10,9s,5,E,Cross-shore,86,19°c,Not recommended
Fronton,04/04,6pm,2-3ft,1.8ft,N,11,9s,6,N,Onshore,11,18°c,Not recommended
Fronton,05/04,6am,1-2ft,1.3ft,NNE,12,9s,1,NE,Onshore,55,14°c,Not recommended
Fronton,05/04,12pm,1-2ft,1.4ft,WNW,302,11s,4,ENE,Cross/Onshore,66,20°c,Not recommended
Fronton,05/04,6pm,1ft,1.8ft,WNW,285,11s,8,N,Onshore,358,20°c,Not recommended
Fronton,06/04,6am,1-2ft,2ft,WNW,299,11s,8,NNW,Onshore,333,16°c,Not recommended
Fronton,06/04,12pm,1-2ft,2ft,WNW,301,10s,6,NNE,Onshore,13,21°c,Not recommended
Fronton,06/04,6pm,1-2ft,1.8ft,NW,309,10s,10,N,Onshore,5,20°c,Not recommended
Fronton,07/04,6am,1-2ft,1.3ft,NNW,335,12s,11,N,Onshore,353,15°c,Not recommended
Fronton,07/04,12pm,2-3ft,1.9ft,NNW,333,12s,6,NE,Onshore,38,21°c,Not recommended
Fronton,07/04,6pm,3-4ft,2.5ft,NNW,330,13s,7,N,Onshore,9,20°c,Not recommended
Fronton,08/04,6am,3-4ft,2.5ft,NNW,339,12s,13,NNW,Onshore,348,15°c,Not recommended
Fronton,08/04,12pm,2-3ft,2.5ft,NNW,339,12s,9,NNE,Onshore,16,21°c,Not recommended
Fronton,08/04,6pm,2-4ft,2.5ft,NNW,344,12s,11,N,Onshore,359,20°c,Not recommended
Fronton,09/04,6am,2-3ft,1.9ft,N,351,15s,15,NNW,Onshore,346,17°c,Not recommended
Fronton,09/04,12pm,3-4ft,2.5ft,N,350,14s,12,N,Onshore,9,21°c,Not recommended
Fronton,09/04,6pm,2-4ft,2.5ft,N,350,14s,12,N,Onshore,2,19°c,Not recommended
Fronton,10/04,6am,2-3ft,2ft,N,350,14s,15,N,Onshore,357,16°c,Not recommended
Fronton,10/04,12pm,2-3ft,1.9ft,N,350,13s,13,NNE,Onshore,15,20°c,Not recommended
Fronton,10/04,6pm,2-3ft,1.7ft,N,349,13s,14,N,Onshore,6,18°c,Not recommended
Fronton,11/04,6am,1-2ft,1.4ft,NNW,349,12s,16,N,Onshore,353,14°c,Not recommended
Fronton,11/04,12pm,2ft,2.5ft,NNE,26,5s,14,N,Onshore,4,19°c,Not recommended
Fronton,11/04,6pm,2ft,2.5ft,NNE,27,6s,15,N,Onshore,8,17°c,Not recommended
Fronton,12/04,6am,2-3ft,2.5ft,NNE,24,6s,15,N,Onshore,357,14°c,Not recommended
Fronton,12/04,12pm,2-3ft,2.5ft,NNE,22,6s,12,N,Onshore,353,17°c,Not recommended
Fronton,12/04,6pm,2-3ft,2.5ft,NNE,14,6s,12,NNW,Onshore,336,16°c,Not recommended
Fronton,13/04,6am,2-3ft,2.5ft,NNE,11,6s,11,NNW,Onshore,326,13°c,Not recommended
Fronton,13/04,12pm,2-3ft,2ft,NNE,12,7s,8,NNW,Onshore,334,18°c,Not recommended
Fronton,13/04,6pm,2-3ft,3ft,N,353,8s,8,NNW,Onshore,348,16°c,Not recommended
Fronton,14/04,6am,2-4ft,3ft,N,356,9s,3,WSW,Offshore,241,13°c,Not recommended
Fronton,14/04,12pm,2-4ft,3ft,N,358,8s,5,ESE,Offshore,117,19°c,Not recommended
Fronton,14/04,6pm,2-4ft,3ft,N,356,8s,5,N,Onshore,352,18°c,Not recommended
Fronton,15/04,6am,2-4ft,3ft,N,352,8s,5,NNW,Onshore,331,14°c,Not recommended
Fronton,15/04,12pm,4-7ft,5ft,N,352,13s,4,E,Cross/Offshore,98,16°c,Not recommended
Fronton,15/04,6pm,4-7ft,5ft,N,352,12s,6,NW,Onshore,306,18°c,Not recommended
Fronton,16/04,6am,3-5ft,3.5ft,N,353,11s,3,SW,Offshore,227,13°c,Not recommended
Fronton,16/04,12pm,3-4ft,3.5ft,N,350,10s,4,ENE,Cross/Onshore,75,19°c,Not recommended
Fronton,16/04,6pm,2-4ft,2.5ft,N,1,10s,8,N,Onshore,11,17°c,Not recommended
Fronton,17/04,6am,3-4ft,3.5ft,NW,320,12s,4,N,Onshore,358,14°c,Not recommended
Fronton,17/04,12pm,3-4ft,3.5ft,NW,320,13s,5,E,Cross-shore,87,16°c,Not recommended
Fronton,17/04,6pm,3-4ft,3.5ft,NW,321,13s,3,E,Cross/Onshore,85,16°c,Not recommended
Fronton,18/04,6am,2-4ft,3ft,NW,322,12s,2,NE,Onshore,54,14°c,Not recommended
Fronton,18/04,12pm,2-3ft,2.5ft,NW,322,12s,8,NNW,Onshore,329,17°c,Not recommended
Fronton,18/04,6pm,2-3ft,2ft,NW,322,11s,19,NNW,Onshore,329,17°c,Not recommended
Fronton,19/04,6am,2-3ft,2.5ft,NNW,346,6s,14,NNW,Onshore,344,13°c,Not recommended
Fronton,19/04,12pm,2ft,2.5ft,N,357,6s,12,N,Onshore,2,17°c,Not recommended
Fronton,19/04,6pm,1-2ft,2ft,N,359,5s,12,NNW,Onshore,338,16°c,Not recommended
Fronton,20/04,6am,1-2ft,2ft,N,3,6s,15,NNW,Onshore,338,13°c,Not recommended
Fronton,20/04,12pm,2ft,2.5ft,N,2,5s,14,NNW,Onshore,345,18°c,Not recommended
Fronton,20/04,6pm,1-2ft,2ft,N,358,5s,16,NNW,Onshore,345,18°c,Not recommended
Fronton,21/04,6am,2-3ft,3ft,N,3,5s,16,N,Onshore,6,13°c,Not recommended
Fronton,21/04,12pm,3-4ft,3ft,NW,320,13s,11,NNE,Onshore,18,16°c,Not recommended
Fronton,21/04,6pm,4-6ft,5ft,NNW,342,12s,15,NNE,Onshore,15,15°c,Not recommended
Fronton,22/04,6am,3-5ft,4ft,N,5,10s,14,NNE,Onshore,16,12°c,Not recommended
Fronton,22/04,12pm,3-5ft,4ft,N,7,11s,11,NNE,Onshore,15,16°c,Not recommended
Fronton,22/04,6pm,3-5ft,4ft,N,6,11s,13,NNE,Onshore,13,15°c,Not recommended
Fronton,23/04,6am,3-4ft,3.5ft,N,7,10s,10,N,Onshore,360,13°c,Not recommended
Fronton,23/04,12pm,3-4ft,3ft,N,7,10s,10,NNE,Onshore,20,16°c,Not recommended
Fronton,23/04,6pm,3-4ft,3ft,N,7,9s,9,NNE,Onshore,32,16°c,Not recommended
Fronton,24/04,6am,2-4ft,3.5ft,N,10,7s,20,NNW,Onshore,346,13°c,Not recommended
Fronton,24/04,12pm,2-4ft,3.5ft,N,9,7s,13,NNW,Onshore,347,17°c,Not recommended
Fronton,24/04,6pm,2-4ft,3.5ft,N,10,7s,14,NNW,Onshore,340,16°c,Not recommended
Fronton,25/04,6am,2-3ft,3ft,N,8,7s,13,NNW,Onshore,334,13°c,Not recommended
Fronton,25/04,12pm,2-3ft,2.5ft,N,7,7s,9,NNW,Onshore,338,17°c,Not recommended
Fronton,25/04,6pm,2-3ft,2.5ft,N,7,7s,12,N,Onshore,354,16°c,Not recommended
Fronton,26/04,6am,2-3ft,2.5ft,NNE,11,7s,7,N,Onshore,3,13°c,Not recommended
Fronton,26/04,12pm,2-3ft,2ft,NNE,13,7s,4,NE,Onshore,46,17°c,Not recommended
Fronton,26/04,6pm,1-2ft,1.9ft,NNE,13,7s,3,NE,Onshore,50,17°c,Not recommended
Fronton,27/04,6am,1-2ft,1.3ft,NNE,14,7s,4,W,Cross/Onshore,280,14°c,Not recommended
Fronton,27/04,12pm,1ft,1.1ft,NNE,13,6s,4,NE,Onshore,44,18°c,Not recommended
Fronton,27/04,6pm,1ft,1ft,N,7,6s,5,N,Onshore,10,17°c,Not recommended
Fronton,28/04,6am,2ft,1.6ft,NNW,329,11s,9,NNW,Onshore,334,14°c,Not recommended
Fronton,28/04,12pm,2-3ft,2.5ft,NNW,330,10s,10,NNW,Onshore,346,19°c,Not recommended
Fronton,28/04,6pm,2-3ft,2.5ft,NNW,334,10s,10,N,Onshore,0,17°c,Not recommended
Fronton,29/04,6am,2-3ft,2.5ft,NNW,346,10s,13,N,Onshore,5,13°c,Not recommended
Fronton,29/04,12pm,2-3ft,2.5ft,N,356,10s,12,NNE,Onshore,27,17°c,Not recommended
Fronton,29/04,6pm,2-3ft,2.5ft,N,2,9s,12,NNE,Onshore,16,16°c,Not recommended
Fronton,30/04,6am,1-2ft,2.5ft,NNE,14,5s,16,N,Onshore,354,13°c,Not recommended
Fronton,30/04,12pm,1-2ft,2.5ft,NNE,19,5s,12,NNE,Onshore,13,18°c,Not recommended
Fronton,30/04,6pm,1-2ft,2ft,NNE,22,5s,13,N,Onshore,1,18°c,Not recommended
Fronton,01/05,6am,2-3ft,1.4ft,NNW,340,14s,13,N,Onshore,9,14°c,Not recommended
Fronton,01/05,12pm,2-4ft,2.5ft,NNW,338,13s,9,NNE,Onshore,33,19°c,Not recommended
Fronton,01/05,6pm,3-4ft,3ft,NNW,338,14s,9,NNE,Onshore,22,17°c,Not recommended
Fronton,02/05,6am,2-4ft,2.5ft,NNW,337,12s,9,NNE,Onshore,13,14°c,Not recommended
Fronton,02/05,12pm,2-3ft,2.5ft,NNW,336,12s,5,ENE,Cross/Onshore,77,23°c,Not recommended
Fronton,02/05,6pm,2-3ft,2ft,NNW,333,11s,4,NE,Onshore,46,22°c,Not recommended
Fronton,03/05,6am,1-2ft,1.3ft,NNW,334,10s,3,NW,Onshore,307,16°c,Not recommended
Fronton,03/05,12pm,2-3ft,2ft,NW,314,12s,7,ENE,Onshore,62,23°c,Not recommended
Fronton,03/05,6pm,1-2ft,1.5ft,NW,311,11s,7,N,Onshore,358,22°c,Not recommended
Fronton,04/05,6am,2ft,2ft,WNW,304,13s,7,NNE,Onshore,29,16°c,Not recommended
Fronton,04/05,12pm,2-3ft,2ft,NW,308,12s,6,NNE,Onshore,30,19°c,Not recommended
Fronton,04/05,6pm,2-3ft,2.5ft,NW,310,11s,9,N,Onshore,2,18°c,Not recommended
Fronton,05/05,6am,2-3ft,2.5ft,NW,312,11s,11,NNW,Onshore,345,14°c,Not recommended
Fronton,05/05,12pm,2-3ft,2ft,NW,317,10s,9,NNE,Onshore,18,19°c,Not recommended
Fronton,05/05,6pm,2-3ft,2.5ft,NW,323,11s,8,N,Onshore,9,17°c,Not recommended
Fronton,06/05,6am,2-3ft,2.5ft,NW,318,11s,10,NNE,Onshore,13,14°c,Not recommended
Fronton,06/05,12pm,2-3ft,2.5ft,NW,320,10s,8,NNE,Onshore,30,18°c,Not recommended
Fronton,06/05,6pm,2-3ft,2.5ft,NW,323,10s,8,N,Onshore,11,17°c,Not recommended
Fronton,07/05,6am,2-3ft,1.9ft,NW,325,10s,12,N,Onshore,357,14°c,Not recommended
Fronton,07/05,12pm,1-2ft,1.7ft,NW,325,9s,9,NNE,Onshore,12,18°c,Not recommended
Fronton,07/05,6pm,1-2ft,1.5ft,NNW,327,9s,10,N,Onshore,353,17°c,Not recommended
Fronton,08/05,6am,1-2ft,1.5ft,NNE,23,6s,13,N,Onshore,352,14°c,Not recommended
Fronton,08/05,12pm,1-2ft,1.4ft,NNE,25,6s,9,N,Onshore,0,19°c,Not recommended
Fronton,08/05,6pm,1ft,1.3ft,N,10,3s,13,N,Onshore,349,19°c,Not recommended
Fronton,09/05,6am,1ft,0.7ft,NW,304,11s,9,NNW,Onshore,328,15°c,Not recommended
Fronton,09/05,12pm,1ft,1.1ft,NNE,15,6s,12,N,Onshore,350,20°c,Not recommended
Fronton,09/05,6pm,1ft,1.6ft,NNW,346,3s,16,NNW,Onshore,335,19°c,Not recommended
Fronton,10/05,6am,1-2ft,2ft,NNW,337,5s,15,NNW,Onshore,328,14°c,Not recommended
Fronton,10/05,12pm,1-2ft,2ft,N,349,5s,11,NNW,Onshore,337,20°c,Not recommended
Fronton,10/05,6pm,2-4ft,3ft,NNW,339,10s,19,NNW,Onshore,330,19°c,Not recommended
Fronton,11/05,6am,3-4ft,3ft,NNW,337,10s,13,NW,Onshore,326,15°c,Not recommended
Fronton,11/05,12pm,2-3ft,2.5ft,NNW,340,10s,9,NNW,Onshore,343,21°c,Not recommended
Fronton,11/05,6pm,2-3ft,2.5ft,NNW,337,10s,17,NW,Onshore,322,19°c,Not recommended
Fronton,12/05,6am,4-6ft,5ft,NNW,336,13s,15,NW,Onshore,316,14°c,Not recommended
Fronton,12/05,12pm,4-6ft,5ft,NNW,335,12s,13,NNW,Onshore,330,19°c,Not recommended
Fronton,12/05,6pm,4-6ft,5ft,NNW,335,11s,12,NNW,Onshore,328,18°c,Not recommended
Fronton,13/05,6am,4-6ft,5ft,NNW,335,11s,9,WNW,Onshore,302,15°c,Not recommended
Fronton,13/05,12pm,3-5ft,4.5ft,NNW,335,10s,11,NW,Onshore,326,19°c,Not recommended
Fronton,13/05,6pm,3-5ft,4ft,NNW,335,10s,11,NNW,Onshore,331,18°c,Not recommended
Fronton,14/05,6am,3-5ft,4.5ft,NNW,336,9s,12,NW,Onshore,311,13°c,Not recommended
Fronton,14/05,12pm,4-6ft,5ft,NNW,349,11s,10,NNW,Onshore,326,18°c,Not recommended
Fronton,14/05,6pm,4-7ft,6ft,NNW,345,11s,16,NW,Onshore,325,16°c,Not recommended
Fronton,15/05,6am,5-7ft,6.5ft,NNW,344,11s,18,NW,Onshore,316,13°c,Not recommended
Fronton,15/05,12pm,5-7ft,6.5ft,NNW,345,11s,16,N,Onshore,352,17°c,Not recommended
Fronton,15/05,6pm,5-7ft,6ft,NNW,348,11s,16,NNW,Onshore,337,17°c,Not recommended
Fronton,16/05,6am,4-6ft,5.5ft,N,354,10s,15,NNW,Onshore,349,14°c,Not recommended
Fronton,16/05,12pm,4-6ft,5.5ft,N,358,10s,10,N,Onshore,3,17°c,Not recommended
Fronton,16/05,6pm,4-6ft,5ft,N,1,10s,13,N,Onshore,356,16°c,Not recommended
Fronton,17/05,6am,4-6ft,5ft,N,7,10s,11,NNE,Onshore,21,14°c,Not recommended
Fronton,17/05,12pm,3-5ft,4.5ft,N,9,10s,11,NNE,Onshore,32,16°c,Not recommended
Fronton,17/05,6pm,3-5ft,4.5ft,N,11,10s,13,NNE,Onshore,17,16°c,Not recommended
Fronton,18/05,6am,3-5ft,4ft,NNE,14,9s,12,N,Onshore,11,14°c,Not recommended
Fronton,18/05,12pm,3-5ft,4ft,NNE,14,9s,11,N,Onshore,11,18°c,Not recommended
Fronton,18/05,6pm,3-4ft,4ft,NNE,13,9s,9,N,Onshore,353,17°c,Not recommended
Fronton,19/05,6am,3-4ft,3.5ft,NNE,12,8s,13,NNW,Onshore,331,15°c,Not recommended
Fronton,19/05,12pm,2-4ft,3.5ft,N,11,7s,12,NNW,Onshore,347,21°c,Not recommended
Fronton,19/05,6pm,2-4ft,3.5ft,N,10,7s,14,NNW,Onshore,333,20°c,Not recommended
Fronton,20/05,6am,2-4ft,3.5ft,N,7,7s,15,NNW,Onshore,348,15°c,Not recommended
Fronton,20/05,12pm,2-4ft,3.5ft,NNE,12,7s,13,NNE,Onshore,14,20°c,Not recommended
Fronton,20/05,6pm,2-4ft,3.5ft,NNE,13,7s,14,NNE,Onshore,12,19°c,Not recommended
Fronton,21/05,6am,2-4ft,3.5ft,NNE,18,7s,14,N,Onshore,356,14°c,Not recommended
Fronton,21/05,12pm,2-3ft,3ft,NNE,21,7s,11,NNE,Onshore,15,20°c,Not recommended
Fronton,21/05,6pm,2-3ft,3ft,NNE,18,7s,13,N,Onshore,356,18°c,Not recommended
Fronton,22/05,6am,2-3ft,3ft,NNE,21,6s,13,N,Onshore,355,15°c,Not recommended
Fronton,22/05,12pm,2-3ft,3.5ft,NNE,21,6s,15,N,Onshore,10,21°c,Not recommended
Fronton,22/05,6pm,2-4ft,3.5ft,NNE,20,7s,15,N,Onshore,6,20°c,Not recommended
Fronton,23/05,6am,3-4ft,4ft,NNE,20,7s,12,N,Onshore,356,17°c,Not recommended
Fronton,23/05,12pm,3-5ft,4.5ft,NNE,20,8s,12,NNE,Onshore,27,25°c,Not recommended
Fronton,23/05,6pm,3-5ft,4.5ft,NNE,19,8s,10,NNE,Onshore,19,25°c,Not recommended
Fronton,24/05,6am,3-4ft,4ft,NNE,19,8s,12,N,Onshore,352,20°c,Not recommended
Fronton,24/05,12pm,3-4ft,4ft,NNE,21,8s,8,NE,Onshore,38,26°c,Not recommended
Fronton,24/05,6pm,3-4ft,3.5ft,NNE,21,8s,8,N,Onshore,356,26°c,Not recommended
Fronton,25/05,6am,2-4ft,3.5ft,NNE,16,8s,10,N,Onshore,352,20°c,Not recommended
Fronton,25/05,12pm,3-4ft,3.5ft,NNE,16,8s,7,NE,Onshore,34,26°c,Not recommended
Fronton,25/05,6pm,3-4ft,3.5ft,NNE,17,8s,9,N,Onshore,6,25°c,Not recommended
Fronton,26/05,6am,2-4ft,3.5ft,NNE,14,8s,7,N,Onshore,358,20°c,Not recommended
Fronton,26/05,12pm,2-4ft,3ft,NNE,15,8s,5,NE,Onshore,40,27°c,Not recommended
Fronton,26/05,6pm,2-4ft,3ft,NNE,16,8s,7,N,Onshore,10,26°c,Not recommended
Fronton,27/05,6am,2-4ft,3ft,NNE,17,8s,8,NNE,Onshore,16,20°c,Not recommended
Fronton,27/05,12pm,2-3ft,3ft,NNE,18,8s,5,NE,Onshore,42,26°c,Not recommended
Fronton,27/05,6pm,2-4ft,3ft,NNE,17,8s,9,N,Onshore,353,25°c,Not recommended
Fronton,28/05,6am,2-4ft,3ft,NNE,14,9s,12,NNW,Onshore,338,19°c,Not recommended
Fronton,28/05,12pm,2-4ft,3ft,NNE,14,9s,11,N,Onshore,356,25°c,Not recommended
Fronton,28/05,6pm,2-3ft,2.5ft,NNE,12,9s,12,NNW,Onshore,345,24°c,Not recommended
Fronton,29/05,6am,2-3ft,2.5ft,NNE,12,9s,10,NNW,Onshore,334,18°c,Not recommended
Fronton,29/05,12pm,2-3ft,2.5ft,NNE,11,9s,10,N,Onshore,349,24°c,Not recommended
Fronton,29/05,6pm,2-3ft,2ft,N,11,9s,12,NNW,Onshore,344,22°c,Not recommended
Fronton,30/05,6am,2ft,1.9ft,NNE,12,8s,8,NNW,Onshore,336,16°c,Not recommended
Fronton,30/05,12pm,1-2ft,1.7ft,NNE,12,8s,7,N,Onshore,2,21°c,Not recommended
Fronton,30/05,6pm,1-2ft,1.2ft,NNW,331,10s,5,NE,Onshore,48,19°c,Not recommended
Fronton,31/05,6am,1-2ft,1.3ft,NNW,330,10s,7,NW,Onshore,310,15°c,Not recommended
Fronton,31/05,12pm,1-2ft,1.3ft,NNW,330,9s,9,N,Onshore,0,22°c,Not recommended
Fronton,31/05,6pm,1-2ft,1.4ft,NNW,331,9s,4,NE,Onshore,49,19°c,Not recommended
Fronton,01/06,6am,1-2ft,1.6ft,NNW,330,10s,1,WNW,Onshore,297,15°c,Not recommended
Fronton,01/06,12pm,1-2ft,1.5ft,NNW,330,9s,7,SE,Offshore,130,21°c,Not recommended
Fronton,01/06,6pm,1-2ft,1.4ft,NNW,326,9s,6,NNE,Onshore,23,20°c,Not recommended
Fronton,02/06,6am,1-2ft,1.2ft,NNW,327,9s,1,SSE,Offshore,151,16°c,Not recommended
Fronton,02/06,12pm,1ft,1ft,NNW,327,9s,6,E,Cross/Onshore,81,22°c,Not recommended
Fronton,02/06,6pm,1-2ft,1.2ft,NW,324,9s,7,N,Onshore,359,20°c,Not recommended
Fronton,03/06,6am,1-2ft,1.4ft,NW,319,8s,4,W,Cross/Onshore,275,17°c,Not recommended
Fronton,03/06,12pm,1-2ft,1.4ft,NW,321,9s,5,NE,Onshore,50,22°c,Not recommended
Fronton,03/06,6pm,1-2ft,1.5ft,NW,324,9s,4,NE,Onshore,52,21°c,Not recommended
Fronton,04/06,6am,1-2ft,1.6ft,NNW,329,8s,2,WNW,Onshore,300,17°c,Not recommended
Fronton,04/06,12pm,1-2ft,1.6ft,NNW,330,9s,7,NE,Onshore,51,22°c,Not recommended
Fronton,04/06,6pm,1-2ft,1.7ft,NNW,329,9s,6,NNE,Onshore,23,22°c,Not recommended
Fronton,05/06,6am,1-2ft,1.6ft,NW,326,8s,4,SSW,Offshore,193,18°c,Not recommended
Fronton,05/06,12pm,1-2ft,1.2ft,NW,324,8s,10,SSW,Offshore,192,25°c,Not recommended
Fronton,05/06,6pm,1-2ft,1.2ft,NNW,327,8s,7,W,Cross/Offshore,262,23°c,Not recommended
Fronton,06/06,6am,1ft,1ft,NNW,332,8s,7,W,Cross/Offshore,264,18°c,Not recommended
Fronton,06/06,12pm,Plano,1ft,SSW,201,13s,9,NE,Onshore,39,22°c,Not recommended
Fronton,06/06,6pm,Plano,2ft,WSW,254,5s,4,ESE,Cross/Offshore,107,22°c,Not recommended
Fronton,07/06,6am,Plano,1.6ft,W,263,6s,5,NNW,Onshore,336,17°c,Not recommended
Fronton,07/06,12pm,Plano,1.3ft,W,269,6s,7,NNE,Onshore,22,20°c,Not recommended
Fronton,07/06,6pm,1-2ft,1ft,N,8,9s,10,NNW,Onshore,348,20°c,Not recommended
Fronton,08/06,6am,2ft,1.8ft,N,0,9s,11,N,Onshore,356,16°c,Not recommended
Fronton,08/06,12pm,2-3ft,2ft,N,359,8s,12,NNE,Onshore,26,19°c,Not recommended
Fronton,08/06,6pm,2-3ft,3ft,N,2,8s,12,NNE,Onshore,26,19°c,Not recommended
Fronton,09/06,6am,2-3ft,2.5ft,NNE,12,6s,11,NNE,Onshore,31,17°c,Not recommended
Fronton,09/06,12pm,2-3ft,2.5ft,N,9,6s,10,NE,Onshore,42,19°c,Not recommended
Fronton,09/06,6pm,2-3ft,2ft,N,4,13s,11,NE,Onshore,37,18°c,Not recommended
Fronton,10/06,6am,3-4ft,3ft,N,5,12s,9,NNE,Onshore,30,16°c,Not recommended
Fronton,10/06,12pm,3-4ft,3ft,N,5,12s,10,NNE,Onshore,33,18°c,Not recommended
Fronton,10/06,6pm,3-5ft,4ft,NNE,13,12s,10,NNE,Onshore,33,17°c,Not recommended
Fronton,11/06,6am,3-5ft,3.5ft,NNE,14,11s,9,NE,Onshore,37,16°c,Not recommended
Fronton,11/06,12pm,3-5ft,3.5ft,NNE,14,11s,6,NE,Onshore,44,19°c,Not recommended
