date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,4-6ft,4.5ft,13s,7,15,mph,19°c,100%,NW,311,Offshore,E,87
01/01,12pm,4-6ft,4.5ft,13s,10,13,mph,23°c,100%,NW,312,Cross/Offshore,E,85
01/01,6pm,4-7ft,4.5ft,14s,8,14,mph,20°c,100%,NW,313,Cross/Offshore,ENE,68
02/01,6am,5-8ft,5.5ft,14s,8,16,mph,19°c,100%,NW,317,Cross/Offshore,E,85
02/01,12pm,7-10ft,7ft,16s,11,15,mph,22°c,100%,NW,319,Cross/Offshore,ENE,70
02/01,6pm,7-10ft,7.5ft,15s,8,16,mph,18°c,100%,NW,318,Cross/Offshore,ENE,78
03/01,6am,5-9ft,6.5ft,13s,10,19,mph,18°c,100%,NW,315,Cross/Offshore,E,81
03/01,12pm,5-8ft,6ft,13s,12,17,mph,23°c,100%,NW,314,Cross/Offshore,ENE,76
03/01,6pm,5-7ft,5.5ft,13s,10,20,mph,18°c,100%,NW,314,Cross/Offshore,ENE,73
04/01,6am,4-6ft,4.5ft,13s,11,20,mph,19°c,100%,NW,314,Cross/Offshore,ENE,78
04/01,12pm,4-6ft,4ft,13s,13,17,mph,23°c,100%,NW,315,Cross/Offshore,ENE,74
04/01,6pm,3-5ft,3.5ft,12s,10,19,mph,19°c,100%,NW,315,Cross/Offshore,ENE,74
05/01,6am,3-4ft,2.5ft,12s,10,20,mph,19°c,100%,NW,313,Cross/Offshore,E,85
05/01,12pm,2-4ft,2.5ft,11s,13,19,mph,23°c,100%,NW,319,Cross/Offshore,E,83
05/01,6pm,2-3ft,2ft,11s,9,19,mph,19°c,100%,NW,320,Cross/Offshore,ENE,78
06/01,6am,4-6ft,3.5ft,17s,11,21,mph,20°c,100%,NW,312,Cross/Offshore,E,79
06/01,12pm,5-8ft,5.5ft,16s,13,19,mph,23°c,100%,NW,312,Cross/Offshore,ENE,70
06/01,6pm,6-9ft,6ft,16s,11,21,mph,19°c,100%,NW,312,Cross/Offshore,ENE,68
07/01,6am,5-8ft,5.5ft,15s,12,22,mph,20°c,100%,NW,311,Cross/Offshore,E,80
07/01,12pm,5-7ft,5ft,14s,14,21,mph,24°c,100%,NW,310,Cross/Offshore,ENE,73
07/01,6pm,4-7ft,4.5ft,14s,13,22,mph,20°c,100%,NW,310,Cross/Offshore,ENE,78
08/01,6am,4-6ft,3.5ft,13s,11,20,mph,20°c,100%,NW,310,Offshore,E,88
08/01,12pm,3-5ft,3.5ft,13s,13,18,mph,24°c,100%,NW,310,Offshore,E,88
08/01,6pm,3-5ft,3.5ft,13s,8,15,mph,20°c,100%,NW,311,Cross/Offshore,E,85
09/01,6am,3-5ft,3.5ft,12s,4,5,mph,19°c,100%,NW,314,Offshore,E,93
09/01,12pm,3-5ft,3ft,12s,2,2,mph,26°c,100%,NW,315,Cross/Onshore,NE,48
09/01,6pm,4-7ft,3.5ft,18s,3,4,mph,21°c,100%,NW,315,Cross-shore,ENE,64
10/01,6am,5-8ft,5ft,16s,2,3,mph,19°c,100%,NW,313,Cross/Onshore,NE,39
10/01,12pm,6-10ft,7ft,15s,6,7,mph,25°c,100%,NW,315,Cross-shore,ENE,60
10/01,6pm,6-9ft,6.5ft,15s,5,9,mph,20°c,100%,NW,314,Cross/Offshore,ENE,74
11/01,6am,7-12ft,8.5ft,16s,4,9,mph,20°c,100%,NW,321,Offshore,E,87
11/01,12pm,8-12ft,9ft,15s,5,5,mph,25°c,100%,NW,321,Offshore,ESE,104
11/01,6pm,8-12ft,9.5ft,15s,3,4,mph,21°c,100%,NW,322,Cross-shore,ENE,59
12/01,6am,7-11ft,8.5ft,15s,2,2,mph,20°c,100%,NW,322,Onshore,W,269
12/01,12pm,6-10ft,7.5ft,14s,4,6,mph,26°c,100%,NW,322,Onshore,WNW,292
12/01,6pm,7-10ft,7.5ft,14s,3,5,mph,21°c,100%,NW,323,Onshore,NW,315
13/01,6am,10-16ft,10.5ft,21s,4,5,mph,19°c,100%,NW,323,Onshore,NNW,330
13/01,12pm,14-22ft,17.5ft,19s,6,7,mph,25°c,100%,NW,323,Onshore,N,350
13/01,6pm,14-22ft,18.5ft,18s,2,3,mph,20°c,100%,NW,324,Onshore,NNE,32
14/01,6am,12-20ft,16ft,17s,3,3,mph,19°c,100%,NW,324,Onshore,NNE,29
14/01,12pm,10-16ft,14.5ft,16s,4,5,mph,26°c,100%,NW,324,Onshore,N,11
14/01,6pm,10-16ft,13ft,16s,4,6,mph,20°c,100%,NW,324,Cross/Onshore,NE,35
15/01,6am,8-13ft,10.5ft,15s,4,5,mph,19°c,100%,NW,324,Cross/Offshore,ENE,67
15/01,12pm,8-12ft,10ft,14s,6,7,mph,25°c,100%,NW,325,Cross-shore,ENE,62
15/01,6pm,7-12ft,9.5ft,14s,6,10,mph,20°c,100%,NW,325,Cross-shore,ENE,64
16/01,6am,7-10ft,8ft,13s,6,11,mph,20°c,100%,NW,325,Cross-shore,NE,56
16/01,12pm,6-10ft,7.5ft,13s,9,12,mph,25°c,100%,NW,325,Cross-shore,ENE,60
16/01,6pm,6-9ft,7ft,13s,9,16,mph,20°c,100%,NW,326,Cross-shore,ENE,57
17/01,6am,7-11ft,8.5ft,15s,12,21,mph,20°c,100%,NNW,329,Cross/Offshore,ENE,66
17/01,12pm,8-12ft,9.5ft,14s,17,26,mph,24°c,100%,NNW,329,Cross/Offshore,ENE,67
17/01,6pm,7-10ft,8.5ft,13s,17,31,mph,20°c,100%,NNW,327,Cross/Offshore,ENE,73
18/01,6am,5-8ft,6ft,12s,18,33,mph,21°c,100%,NW,325,Cross/Offshore,E,84
18/01,12pm,5-7ft,5ft,12s,22,34,mph,25°c,100%,NNW,327,Offshore,E,86
18/01,6pm,4-6ft,4.5ft,11s,19,33,mph,21°c,100%,NNW,335,Offshore,E,87
19/01,6am,3-4ft,3ft,11s,15,26,mph,21°c,100%,NNW,329,Offshore,E,95
19/01,12pm,2-4ft,2.5ft,10s,16,22,mph,24°c,100%,N,354,Offshore,E,91
19/01,6pm,2-3ft,2ft,11s,9,18,mph,21°c,100%,NNW,335,Offshore,E,95
20/01,6am,2-3ft,1.9ft,11s,9,20,mph,21°c,100%,NNE,16,Offshore,E,94
20/01,12pm,1-2ft,1.3ft,10s,11,16,mph,24°c,100%,NNW,337,Offshore,E,90
20/01,6pm,3-4ft,2ft,17s,11,21,mph,21°c,100%,NW,324,Cross/Offshore,E,82
21/01,6am,4-6ft,3.5ft,15s,8,20,mph,21°c,100%,NW,323,Cross/Offshore,ENE,79
21/01,12pm,4-6ft,4ft,13s,13,18,mph,25°c,100%,NW,322,Cross/Offshore,ENE,75
