date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
24/03,6am,1-2ft,3.5ft,7s,14,20,mph,14°c,100%,NNE,19,Cross/Onshore,N,9
24/03,12pm,1-2ft,3.5ft,6s,17,21,mph,18°c,100%,NNE,16,Cross/Onshore,N,8
24/03,6pm,1ft,3.5ft,5s,18,22,mph,17°c,100%,NNE,11,Cross-shore,N,360
25/03,6am,1-2ft,4.5ft,6s,19,25,mph,13°c,100%,NNE,13,Cross/Onshore,NNE,17
25/03,12pm,2ft,5ft,7s,21,25,mph,17°c,100%,NNE,13,Cross/Onshore,NNE,16
25/03,6pm,1-2ft,5ft,7s,21,26,mph,15°c,100%,N,11,Cross/Onshore,N,11
26/03,6am,1-2ft,5ft,7s,22,29,mph,14°c,100%,NNE,12,Cross/Onshore,NNE,18
26/03,12pm,2-3ft,5.5ft,7s,22,26,mph,17°c,100%,NNE,15,Cross/Onshore,NNE,23
26/03,6pm,2-3ft,6.5ft,8s,22,28,mph,15°c,100%,NNE,16,Cross/Onshore,NNE,21
27/03,6am,2-4ft,7ft,9s,16,25,mph,13°c,100%,NNE,17,Cross/Onshore,NNE,24
27/03,12pm,3-4ft,6.5ft,9s,14,16,mph,18°c,100%,NNE,19,Onshore,NNE,26
27/03,6pm,2-4ft,6ft,9s,10,10,mph,18°c,100%,NNE,20,Cross/Onshore,NNE,14
28/03,6am,2-3ft,4ft,9s,8,9,mph,15°c,100%,NNE,21,Cross/Offshore,N,352
28/03,12pm,1-2ft,3.5ft,8s,9,11,mph,25°c,100%,NNE,18,Onshore,ESE,119
28/03,6pm,1-2ft,3ft,8s,7,7,mph,24°c,100%,NNE,18,Onshore,E,84
29/03,6am,1-2ft,2.5ft,7s,6,8,mph,16°c,100%,NNE,20,Onshore,NE,48
29/03,12pm,1-2ft,2.5ft,6s,12,14,mph,21°c,100%,NNE,16,Onshore,NE,47
29/03,6pm,1-2ft,3.5ft,7s,13,15,mph,18°c,100%,NNE,16,Onshore,NNE,31
30/03,6am,2-3ft,4.5ft,7s,17,24,mph,14°c,100%,NNE,18,Onshore,NNE,30
30/03,12pm,2-3ft,5ft,7s,18,20,mph,16°c,100%,NNE,25,Onshore,NE,41
30/03,6pm,2-3ft,4.5ft,7s,15,18,mph,15°c,100%,NNE,22,Onshore,NE,40
31/03,6am,2-3ft,7ft,15s,12,17,mph,12°c,100%,N,358,Onshore,NE,40
31/03,12pm,1-2ft,6.5ft,14s,11,12,mph,17°c,100%,N,356,Onshore,NE,54
31/03,6pm,1-2ft,6ft,14s,8,7,mph,17°c,100%,N,354,Onshore,NE,43
01/04,6am,1-2ft,5.5ft,14s,3,3,mph,13°c,100%,N,353,Onshore,NE,49
01/04,12pm,1ft,5ft,13s,2,4,mph,18°c,100%,N,352,Offshore,SW,229
01/04,6pm,0-1ft,4ft,13s,6,5,mph,16°c,100%,N,352,Cross/Onshore,N,10
02/04,6am,0-1ft,3ft,12s,5,6,mph,14°c,100%,NNW,348,Cross/Offshore,SSW,203
02/04,12pm,1ft,1.7ft,12s,9,10,mph,19°c,100%,N,2,Cross-shore,N,3
02/04,6pm,Plano,1.5ft,3s,14,16,mph,18°c,100%,NNW,343,Cross/Offshore,N,352
03/04,6am,Plano,0.4ft,11s,9,11,mph,14°c,100%,SSW,200,Cross-shore,N,4
03/04,12pm,Plano,0.4ft,11s,11,12,mph,18°c,100%,SSW,200,Cross/Onshore,NNE,15
03/04,6pm,Plano,1.4ft,3s,14,15,mph,17°c,100%,N,1,Cross-shore,N,5
04/04,6am,0-1ft,1.6ft,4s,13,18,mph,14°c,100%,NNE,17,Onshore,NNE,30
04/04,12pm,1-2ft,2.5ft,4s,17,18,mph,18°c,100%,NNE,33,Onshore,NE,39
04/04,6pm,1-2ft,2.5ft,5s,14,15,mph,16°c,100%,NNE,30,Cross/Onshore,NNE,24
05/04,6am,1ft,2ft,5s,10,13,mph,13°c,100%,NNE,29,Cross/Onshore,NNE,11
05/04,12pm,Plano,0.6ft,14s,13,14,mph,18°c,100%,SSW,199,Cross/Onshore,NNE,12
05/04,6pm,Plano,0.8ft,16s,12,14,mph,17°c,100%,N,354,Cross-shore,N,3
06/04,6am,0-1ft,1.9ft,14s,7,8,mph,13°c,100%,N,357,Cross/Offshore,N,352
06/04,12pm,1ft,2ft,13s,9,10,mph,19°c,100%,N,358,Cross/Offshore,N,351
06/04,6pm,1ft,2.5ft,13s,10,11,mph,19°c,100%,N,360,Offshore,NNW,335
07/04,6am,1ft,1.8ft,12s,16,22,mph,14°c,100%,N,1,Cross/Offshore,N,354
07/04,12pm,0-1ft,1.5ft,12s,18,18,mph,18°c,100%,N,2,Cross/Onshore,NNE,15
07/04,6pm,0-1ft,1.2ft,11s,19,20,mph,16°c,100%,N,4,Cross/Onshore,NNE,14
08/04,6am,Plano,0.6ft,11s,18,24,mph,13°c,100%,N,6,Cross/Onshore,NNE,14
08/04,12pm,1-2ft,5ft,6s,24,27,mph,17°c,100%,N,8,Cross/Onshore,NNE,20
08/04,6pm,1-2ft,6ft,6s,26,31,mph,16°c,100%,N,10,Cross/Onshore,NNE,20
09/04,6am,2-3ft,7ft,7s,27,32,mph,14°c,100%,N,9,Cross/Onshore,NNE,14
09/04,12pm,2-3ft,8ft,8s,27,31,mph,16°c,100%,N,4,Cross/Onshore,NNE,14
09/04,6pm,2-3ft,8.5ft,9s,27,31,mph,15°c,100%,N,3,Cross/Onshore,NNE,12
10/04,6am,2-3ft,10ft,14s,20,27,mph,13°c,100%,N,0,Cross/Onshore,N,9
10/04,12pm,2-4ft,10.5ft,14s,20,22,mph,17°c,100%,N,0,Cross/Onshore,NNE,13
10/04,6pm,2-3ft,9ft,13s,18,21,mph,16°c,100%,N,359,Cross-shore,N,357
11/04,6am,1-2ft,6ft,12s,18,26,mph,14°c,100%,N,353,Cross/Offshore,NNW,340
11/04,12pm,1ft,5.5ft,12s,19,22,mph,19°c,100%,N,352,Cross/Offshore,NNW,345
11/04,6pm,1ft,5.5ft,11s,20,23,mph,18°c,100%,N,353,Cross/Offshore,N,349
12/04,6am,1-2ft,7ft,15s,13,19,mph,15°c,100%,N,356,Cross/Offshore,NNW,343
12/04,12pm,1-2ft,7ft,13s,19,21,mph,19°c,100%,N,354,Cross/Offshore,NNW,338
12/04,6pm,1ft,6ft,12s,18,21,mph,18°c,100%,N,352,Cross/Offshore,NNW,336
13/04,6am,1ft,5ft,11s,16,23,mph,14°c,100%,N,350,Cross/Offshore,NNW,346
13/04,12pm,1-2ft,6ft,11s,20,22,mph,18°c,100%,N,353,Cross-shore,N,355
13/04,6pm,1-2ft,6.5ft,11s,19,21,mph,16°c,100%,N,353,Cross/Offshore,N,354
14/04,6am,1ft,5.5ft,11s,14,20,mph,13°c,100%,N,356,Cross/Onshore,N,9
14/04,12pm,1-2ft,5.5ft,11s,17,19,mph,18°c,100%,N,359,Cross/Onshore,NNE,18
14/04,6pm,1-2ft,5.5ft,11s,16,18,mph,16°c,100%,N,360,Cross/Onshore,NNE,17
