Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions
Nazare,2018-01-01,6am,20-30ft,15.5,WNW,292,15,6,S,Cross/Offshore,186,8,Good
Nazare,2018-01-01,12pm,18-28ft,14.5,WNW,292,15,14,W,Onshore,277,15,Good
Nazare,2018-01-01,6pm,18-26ft,13.5,WNW,293,14,6,WSW,Onshore,253,11,Good
Nazare,2018-02-01,6am,16-26ft,12.5,WNW,297,14,5,SSW,Cross-shore,207,10,Good
Nazare,2018-02-01,12pm,14-24ft,11.5,WNW,297,14,11,WSW,Onshore,258,16,Good
Nazare,2018-02-01,6pm,14-20ft,10.0,WNW,297,13,10,WSW,Onshore,239,14,Good
Nazare,2018-03-01,6am,12-18ft,9.0,WNW,296,12,4,WNW,Onshore,291,14,Good
Nazare,2018-03-01,12pm,14-24ft,8.5,WNW,291,20,8,WNW,Onshore,286,17,Good
Nazare,2018-03-01,6pm,20-30ft,14.0,WNW,296,17,5,W,Onshore,281,14,Good
Nazare,2018-04-01,6am,18-28ft,13.5,WNW,300,16,5,W,Onshore,261,12,Good
Nazare,2018-04-01,12pm,16-24ft,11.5,WNW,300,15,11,WSW,Onshore,250,17,Good
Nazare,2018-04-01,6pm,14-22ft,10.5,WNW,299,14,18,SW,Onshore,232,13,Good
Nazare,2018-05-01,6am,14-22ft,11.0,WNW,293,13,25,SW,Cross/Onshore,214,13,Good
Nazare,2018-05-01,12pm,14-22ft,11.5,WNW,293,13,19,NW,Onshore,319,12,Good
Nazare,2018-05-01,6pm,14-22ft,11.5,WNW,298,13,20,N,Onshore,357,9,Good
Nazare,2018-06-01,6am,16-26ft,13.5,WNW,300,13,22,N,Onshore,349,7,Good
Nazare,2018-06-01,12pm,16-24ft,12.5,WNW,299,13,19,N,Onshore,352,10,Good
Nazare,2018-06-01,6pm,14-24ft,11.5,WNW,302,13,22,NNW,Onshore,341,8,Good
Nazare,2018-07-01,6am,18-28ft,14.0,WNW,304,16,26,N,Onshore,354,7,Good
Nazare,2018-07-01,12pm,16-26ft,13.5,NW,311,14,26,N,Onshore,354,11,Good
Nazare,2018-07-01,6pm,16-24ft,13.0,NW,316,13,26,N,Onshore,351,9,Good
Nazare,2018-08-01,6am,12-18ft,9.5,NW,318,11,6,NE,Offshore,51,4,Good
Nazare,2018-08-01,12pm,9-14ft,6.5,NW,307,11,8,ESE,Offshore,101,11,Good
Nazare,2018-08-01,6pm,8-12ft,3.5,W,273,19,2,W,Onshore,268,6,Good
Nazare,2018-09-01,6am,10-16ft,5.5,W,276,16,18,SSE,Offshore,149,6,Good
Nazare,2018-09-01,12pm,10-16ft,6.0,W,280,16,28,SSE,Offshore,151,8,Good
Nazare,2018-09-01,6pm,12-18ft,7.0,W,279,16,3,SSE,Offshore,147,10,Good
Nazare,2018-10-01,6am,18-28ft,13.0,WNW,288,15,17,WSW,Onshore,259,10,Good
Nazare,2018-10-01,12pm,18-28ft,14.0,WNW,286,15,31,W,Onshore,272,14,Good
Nazare,2018-10-01,6pm,20-30ft,16.0,WNW,291,14,23,NW,Onshore,314,10,Good
Nazare,2018-11-01,6am,20-30ft,16.0,WNW,290,15,25,WNW,Onshore,304,11,Good
Nazare,2018-11-01,12pm,18-28ft,14.5,WNW,292,14,18,NNW,Onshore,328,14,Good
Nazare,2018-11-01,6pm,16-26ft,13.0,WNW,293,14,9,N,Onshore,353,9,Good
Nazare,2018-12-01,6am,12-18ft,8.5,WNW,287,13,4,SE,Offshore,129,6,Good
Nazare,2018-12-01,12pm,10-16ft,6.5,WNW,287,13,9,SSE,Offshore,150,11,Good
Nazare,2018-12-01,6pm,8-13ft,5.5,WNW,285,12,16,SSE,Offshore,167,10,Good
Nazare,2018-01-13,6am,14-20ft,10.0,W,280,13,2,SE,Offshore,133,9,Good
Nazare,2018-01-13,12pm,14-20ft,10.5,WNW,284,13,16,NW,Onshore,317,12,Good
Nazare,2018-01-13,6pm,14-22ft,11.0,WNW,283,13,21,WNW,Onshore,282,9,Good
Nazare,2018-01-14,6am,16-24ft,11.5,WNW,286,14,15,NW,Onshore,324,7,Good
Nazare,2018-01-14,12pm,14-22ft,10.5,WNW,289,13,13,NW,Onshore,317,11,Good
Nazare,2018-01-14,6pm,14-22ft,10.0,WNW,292,13,4,NNW,Onshore,346,7,Good
Nazare,2018-01-15,6am,10-18ft,8.0,WNW,298,12,4,ENE,Offshore,59,4,Good
Nazare,2018-01-15,12pm,10-16ft,7.0,WNW,300,12,8,N,Cross/Onshore,3,11,Good
Nazare,2018-01-15,6pm,9-14ft,6.0,WNW,300,11,5,NNW,Onshore,333,7,Good
Nazare,2018-01-16,6am,8-12ft,5.5,WNW,301,11,4,WSW,Onshore,246,11,Good
Nazare,2018-01-16,12pm,10-18ft,7.5,NW,307,13,7,NW,Onshore,323,13,Good
Nazare,2018-01-16,6pm,16-24ft,10.5,NW,309,15,13,NNW,Onshore,326,13,Good
Nazare,2018-01-17,6am,20-30ft,14.0,NW,312,17,27,N,Cross/Onshore,0,11,Good
Nazare,2018-01-17,12pm,20-35ft,16.0,NW,314,18,25,N,Cross/Onshore,1,13,Good
Nazare,2018-01-17,6pm,25-40ft,20.0,NW,313,20,25,N,Cross/Onshore,3,10,Good
Nazare,2018-01-18,6am,25-35ft,17.5,NW,311,18,10,NNE,Cross-shore,24,7,Good
Nazare,2018-01-18,12pm,20-35ft,15.5,NW,311,17,14,N,Cross/Onshore,6,14,Good
Nazare,2018-01-18,6pm,18-28ft,13.5,NW,312,17,25,N,Onshore,357,10,Good
Nazare,2018-01-19,6am,16-24ft,11.5,NW,315,16,30,N,Cross/Onshore,4,10,Good
Nazare,2018-01-19,12pm,14-22ft,11.0,NW,315,14,24,N,Cross/Onshore,1,15,Good
Nazare,2018-01-19,6pm,14-20ft,10.0,NW,316,14,24,N,Onshore,354,11,Good
Nazare,2018-01-20,6am,12-18ft,8.5,NW,316,13,12,N,Cross/Onshore,2,8,Good
Nazare,2018-01-20,12pm,12-18ft,8.5,NW,316,13,12,N,Onshore,349,14,Good
Nazare,2018-01-20,6pm,12-18ft,8.0,NW,316,14,5,NW,Onshore,324,10,Good
Nazare,2018-01-21,6am,12-18ft,8.0,NW,317,13,9,N,Onshore,357,12,Good
Nazare,2018-01-21,12pm,10-16ft,7.5,NW,317,13,11,NNW,Onshore,340,16,Good
Nazare,2018-01-21,6pm,10-14ft,7.0,NW,316,12,9,NNW,Onshore,332,12,Good
Nazare,2018-01-22,6am,8-12ft,5.5,NW,313,11,9,N,Cross/Onshore,2,11,Good
Nazare,2018-01-22,12pm,8-12ft,5.5,NW,308,11,16,N,Onshore,355,16,Good
Nazare,2018-01-22,6pm,9-14ft,6.5,NW,305,11,11,NNW,Onshore,343,11,Good
Nazare,2018-01-23,6am,10-18ft,7.5,WNW,291,13,15,N,Cross/Onshore,7,9,Good
Nazare,2018-01-23,12pm,10-16ft,7.0,WNW,288,13,14,N,Onshore,356,15,Good
Nazare,2018-01-23,6pm,10-16ft,6.5,WNW,287,13,7,NNW,Onshore,348,10,Good
Nazare,2018-01-24,6am,12-18ft,7.5,WNW,290,14,2,NNE,Cross-shore,27,7,Good
Nazare,2018-01-24,12pm,12-18ft,8.0,WNW,291,13,2,W,Onshore,269,15,Good
Nazare,2018-01-24,6pm,14-22ft,9.0,WNW,293,16,4,W,Onshore,278,10,Good
Nazare,2018-01-25,6am,18-30ft,14.0,WNW,295,16,22,SW,Cross/Onshore,227,12,Good
Nazare,2018-01-25,12pm,18-28ft,14.0,WNW,296,15,23,NW,Onshore,305,12,Good
Nazare,2018-01-25,6pm,18-28ft,14.0,WNW,299,15,24,NNW,Onshore,336,9,Good
Nazare,2018-01-26,6am,16-26ft,13.5,WNW,304,14,24,N,Onshore,352,8,Good
Nazare,2018-01-26,12pm,16-26ft,13.0,NW,308,14,25,N,Onshore,354,12,Good
Nazare,2018-01-26,6pm,16-24ft,12.5,NW,311,13,24,N,Onshore,350,9,Good
Nazare,2018-01-27,6am,12-20ft,10.0,NW,315,12,25,N,Cross/Onshore,10,7,Good
Nazare,2018-01-27,12pm,12-18ft,9.0,NW,319,12,22,N,Cross/Onshore,11,12,Good
Nazare,2018-01-27,6pm,9-14ft,6.5,NW,315,11,27,NNE,Cross/Onshore,14,10,Good
Nazare,2018-01-28,6am,6-9ft,3.5,NW,305,10,6,ENE,Offshore,62,5,Good
Nazare,2018-01-28,12pm,10-16ft,6.5,NW,312,13,9,NE,Offshore,54,13,Good
Nazare,2018-01-28,6pm,10-16ft,6.5,NW,307,13,28,ENE,Offshore,65,12,Good
Nazare,2018-01-29,6am,9-14ft,5.5,WNW,299,13,34,E,Offshore,90,10,Good
Nazare,2018-01-29,12pm,9-14ft,5.5,WNW,298,13,24,E,Offshore,83,16,Good
Nazare,2018-01-29,6pm,9-14ft,5.5,WNW,294,13,13,NE,Offshore,52,13,Good
Nazare,2018-01-30,6am,8-12ft,5.0,WNW,299,13,28,E,Offshore,93,9,Good
Nazare,2018-01-30,12pm,8-12ft,5.0,NW,306,13,21,E,Offshore,91,16,Good
Nazare,2018-01-30,6pm,8-12ft,5.0,NW,306,13,7,NE,Cross/Offshore,36,12,Good
Nazare,2018-01-31,6am,6-9ft,3.5,NW,314,12,6,ENE,Offshore,74,8,Good
Nazare,2018-01-31,12pm,5-8ft,3.0,NW,312,11,8,NNE,Cross-shore,21,16,Good
Nazare,2018-01-31,6pm,5-8ft,3.0,NW,314,11,15,N,Onshore,352,10,Good
Nazare,2018-01-02,6am,5-8ft,5.0,NNW,335,6,29,N,Onshore,352,10,Good
Nazare,2018-01-02,12pm,8-12ft,8.5,NNW,333,8,31,N,Onshore,353,13,Good
Nazare,2018-01-02,6pm,10-16ft,7.0,NW,318,15,33,N,Onshore,351,10,Good
Nazare,2018-02-02,6am,14-22ft,12.5,NW,323,13,27,N,Cross/Onshore,2,7,Good
Nazare,2018-02-02,12pm,14-22ft,11.5,NW,323,13,25,N,Cross/Onshore,1,11,Good
Nazare,2018-02-02,6pm,12-18ft,10.0,NW,323,12,23,N,Onshore,357,8,Good
Nazare,2018-03-02,6am,10-14ft,7.5,NW,323,11,20,N,Cross/Onshore,1,6,Good
Nazare,2018-03-02,12pm,8-13ft,6.5,NW,320,11,12,NW,Onshore,314,12,Good
Nazare,2018-03-02,6pm,8-12ft,5.5,NW,319,11,20,NNW,Onshore,327,11,Good
Nazare,2018-04-02,6am,10-16ft,10.0,NW,326,9,27,N,Onshore,350,7,Good
Nazare,2018-04-02,12pm,14-20ft,11.5,NW,322,11,24,N,Cross/Onshore,3,11,Good
Nazare,2018-04-02,6pm,14-20ft,11.5,NW,321,12,23,N,Onshore,358,8,Good
Nazare,2018-05-02,6am,12-18ft,9.5,NW,320,12,19,N,Cross/Onshore,8,5,Good
Nazare,2018-05-02,12pm,12-20ft,10.5,NW,322,11,18,N,Cross/Onshore,1,11,Good
Nazare,2018-05-02,6pm,12-20ft,11.0,NW,325,11,23,N,Onshore,355,9,Good
Nazare,2018-06-02,6am,10-16ft,9.0,NNW,329,10,24,N,Cross/Onshore,6,4,Good
Nazare,2018-06-02,12pm,9-14ft,8.5,NNW,331,9,21,N,Onshore,360,9,Good
Nazare,2018-06-02,6pm,7-11ft,7.0,NNW,331,8,22,N,Onshore,356,7,Good
Nazare,2018-07-02,6am,12-20ft,11.0,NW,314,12,21,NNE,Cross-shore,25,4,Good
Nazare,2018-07-02,12pm,14-20ft,11.0,NW,322,12,18,NNE,Cross-shore,26,10,Good
Nazare,2018-07-02,6pm,16-24ft,13.0,NW,319,13,22,N,Cross/Onshore,8,9,Good
Nazare,2018-08-02,6am,12-20ft,10.0,NW,319,13,7,NNE,Cross-shore,29,3,Good
Nazare,2018-08-02,12pm,10-16ft,8.0,NW,319,13,12,N,Cross/Onshore,0,10,Good
Nazare,2018-08-02,6pm,10-14ft,7.0,NW,318,12,15,NNW,Onshore,347,6,Good
Nazare,2018-09-02,6am,9-14ft,6.0,NW,313,12,9,SSE,Offshore,147,6,Good
Nazare,2018-09-02,12pm,10-16ft,7.5,NW,308,12,14,NNW,Onshore,347,13,Good
Nazare,2018-09-02,6pm,10-16ft,7.5,NW,314,11,25,N,Onshore,352,10,Good
Nazare,2018-10-02,6am,12-20ft,8.0,NW,312,16,26,N,Cross/Onshore,5,7,Good
Nazare,2018-10-02,12pm,16-26ft,12.0,NW,317,15,25,N,Onshore,357,12,Good
Nazare,2018-10-02,6pm,16-24ft,11.5,NW,315,15,25,N,Onshore,349,10,Good
Nazare,2018-11-02,6am,12-20ft,8.5,NW,312,14,19,NW,Onshore,315,11,Good
Nazare,2018-11-02,12pm,12-18ft,8.5,NW,312,14,16,NW,Onshore,309,14,Good
Nazare,2018-11-02,6pm,12-20ft,9.0,NW,310,14,18,WNW,Onshore,292,12,Good
Nazare,2018-12-02,6am,12-20ft,9.0,NW,312,13,22,NNW,Onshore,346,7,Good
Nazare,2018-12-02,12pm,12-18ft,8.5,NW,310,13,14,NNW,Onshore,337,12,Good
Nazare,2018-12-02,6pm,9-14ft,6.0,WNW,297,12,14,NNW,Onshore,329,8,Good
Nazare,2018-02-13,6am,14-22ft,9.5,NW,310,15,5,WSW,Onshore,255,5,Good
Nazare,2018-02-13,12pm,12-20ft,8.5,NW,307,15,16,WSW,Onshore,251,12,Good
Nazare,2018-02-13,6pm,14-24ft,11.0,NW,309,14,20,SW,Onshore,235,11,Good
Nazare,2018-02-14,6am,14-22ft,11.0,NW,305,13,20,SSW,Cross/Offshore,199,9,Good
Nazare,2018-02-14,12pm,14-22ft,10.5,WNW,300,13,20,SW,Cross/Onshore,215,13,Good
Nazare,2018-02-14,6pm,14-20ft,10.0,WNW,297,13,23,SSW,Cross-shore,208,12,Good
Nazare,2018-02-15,6am,12-18ft,8.5,WNW,295,12,20,S,Cross/Offshore,184,11,Good
Nazare,2018-02-15,12pm,14-20ft,9.0,WNW,297,14,16,SSW,Cross-shore,201,14,Good
Nazare,2018-02-15,6pm,20-30ft,13.0,WNW,298,18,10,SW,Onshore,230,13,Good
Nazare,2018-02-16,6am,18-28ft,13.5,WNW,299,16,4,SE,Offshore,134,8,Good
Nazare,2018-02-16,12pm,18-28ft,13.0,WNW,301,16,7,SSW,Cross/Offshore,194,16,Good
Nazare,2018-02-16,6pm,16-26ft,12.0,WNW,302,15,6,W,Onshore,271,11,Good
Nazare,2018-02-17,6am,14-22ft,10.0,NW,304,14,3,S,Offshore,174,9,Good
Nazare,2018-02-17,12pm,12-20ft,9.0,NW,307,14,11,N,Cross/Onshore,1,12,Good
Nazare,2018-02-17,6pm,10-16ft,7.0,NW,307,13,18,N,Onshore,351,11,Good
Nazare,2018-02-18,6am,9-14ft,6.0,NW,307,12,7,NE,Offshore,54,7,Good
Nazare,2018-02-18,12pm,9-14ft,6.5,NW,313,12,9,NE,Offshore,53,16,Good
Nazare,2018-02-18,6pm,9-14ft,6.5,NW,313,11,15,N,Onshore,360,12,Good
Nazare,2018-02-19,6am,9-14ft,6.5,NW,308,11,7,NNE,Cross-shore,30,9,Good
Nazare,2018-02-19,12pm,9-14ft,6.0,NW,307,13,11,N,Onshore,358,16,Good
Nazare,2018-02-19,6pm,10-16ft,6.5,WNW,296,14,22,N,Onshore,355,12,Good
Nazare,2018-02-20,6am,12-20ft,8.5,WNW,299,15,6,NE,Cross/Offshore,41,8,Good
Nazare,2018-02-20,12pm,12-18ft,8.0,WNW,298,14,4,N,Cross/Onshore,6,18,Good
Nazare,2018-02-20,6pm,10-16ft,6.5,WNW,288,13,16,N,Onshore,349,12,Good
Nazare,2018-02-21,6am,12-20ft,8.0,WNW,292,15,6,NE,Cross/Offshore,43,8,Good
Nazare,2018-02-21,12pm,12-18ft,7.5,WNW,296,15,7,NNE,Cross/Onshore,16,17,Good
Nazare,2018-02-21,6pm,10-16ft,7.0,WNW,299,14,9,N,Cross/Onshore,2,13,Good
Nazare,2018-02-22,6am,9-14ft,5.0,W,270,18,21,E,Offshore,100,5,Good
Nazare,2018-02-22,12pm,10-14ft,5.5,W,272,17,3,SE,Offshore,130,15,Good
Nazare,2018-02-22,6pm,9-14ft,5.5,W,275,15,6,NNW,Onshore,337,10,Good
Nazare,2018-02-23,6am,7-10ft,4.0,W,278,13,5,ESE,Offshore,115,4,Good
Nazare,2018-02-23,12pm,6-9ft,3.5,W,279,13,15,ESE,Offshore,113,13,Good
Nazare,2018-02-23,6pm,5-8ft,3.0,W,278,12,5,ENE,Offshore,73,11,Good
Nazare,2018-02-24,6am,6-9ft,3.5,WNW,284,12,13,ESE,Offshore,113,4,Good
Nazare,2018-02-24,12pm,7-11ft,4.5,WNW,297,12,7,SE,Offshore,134,14,Good
Nazare,2018-02-24,6pm,7-11ft,4.5,WNW,299,12,5,WNW,Onshore,301,10,Good
Nazare,2018-02-25,6am,12-20ft,8.0,WNW,293,16,7,ESE,Offshore,122,5,Good
Nazare,2018-02-25,12pm,12-18ft,7.5,WNW,295,15,14,SE,Offshore,134,15,Good
Nazare,2018-02-25,6pm,10-16ft,6.5,WNW,298,14,12,SE,Offshore,126,14,Good
Nazare,2018-02-26,6am,9-13ft,5.0,WNW,301,14,32,ESE,Offshore,115,9,Good
Nazare,2018-02-26,12pm,8-12ft,4.5,WNW,301,14,26,ESE,Offshore,113,16,Good
Nazare,2018-02-26,6pm,8-12ft,4.5,WNW,300,14,23,SE,Offshore,137,12,Good
Nazare,2018-02-27,6am,8-12ft,4.5,WNW,301,14,25,WSW,Onshore,243,12,Good
Nazare,2018-02-27,12pm,7-11ft,4.5,WNW,301,13,19,SW,Onshore,234,16,Good
Nazare,2018-02-27,6pm,6-9ft,3.0,NW,307,13,19,S,Offshore,174,12,Good
Nazare,2018-02-28,6am,12-20ft,9.5,WSW,257,16,23,SSW,Cross-shore,209,13,Good
Nazare,2018-02-28,12pm,12-18ft,8.5,WSW,259,14,25,SW,Cross/Onshore,220,15,Good
Nazare,2018-02-28,6pm,10-16ft,8.5,WSW,254,13,28,SSW,Cross-shore,205,13,Good
Nazare,2018-01-03,6am,10-16ft,8.5,WSW,253,13,26,S,Cross/Offshore,188,12,Epic
Nazare,2018-01-03,12pm,12-18ft,9.5,WSW,255,13,35,W,Onshore,263,12,Epic
Nazare,2018-01-03,6pm,14-22ft,11.5,W,268,12,26,WNW,Onshore,284,9,Epic
Nazare,2018-02-03,6am,9-13ft,7.0,WSW,255,12,24,SSE,Offshore,153,9,Epic
Nazare,2018-02-03,12pm,7-11ft,6.0,WSW,246,12,33,SSW,Cross/Offshore,193,14,Epic
Nazare,2018-02-03,6pm,10-16ft,10.5,WSW,249,11,34,WSW,Onshore,243,12,Epic
Nazare,2018-03-03,6am,12-18ft,11.0,W,261,11,26,SSW,Cross-shore,209,9,Epic
Nazare,2018-03-03,12pm,12-20ft,10.5,W,263,12,24,SSW,Cross-shore,207,12,Epic
Nazare,2018-03-03,6pm,12-20ft,11.0,W,263,12,28,WSW,Onshore,245,12,Epic
Nazare,2018-04-03,6am,9-14ft,7.0,W,259,12,4,NW,Onshore,305,7,Epic
Nazare,2018-04-03,12pm,9-14ft,7.0,W,260,12,26,SSW,Cross/Offshore,199,14,Epic
Nazare,2018-04-03,6pm,10-16ft,8.5,W,260,11,26,WSW,Onshore,243,11,Epic
Nazare,2018-05-03,6am,14-20ft,12.5,W,265,11,33,WSW,Onshore,252,10,Epic
Nazare,2018-05-03,12pm,16-24ft,14.0,W,270,12,31,WNW,Onshore,286,12,Epic
Nazare,2018-05-03,6pm,14-24ft,13.0,W,273,12,22,WNW,Onshore,292,11,Epic
Nazare,2018-06-03,6am,12-20ft,10.5,W,275,12,23,W,Onshore,271,10,Epic
Nazare,2018-06-03,12pm,12-18ft,9.5,W,280,11,17,WNW,Onshore,301,13,Epic
Nazare,2018-06-03,6pm,10-16ft,8.0,WNW,285,10,17,NW,Onshore,306,10,Epic
Nazare,2018-07-03,6am,8-12ft,5.5,NNW,327,11,5,SE,Offshore,142,6,Epic
Nazare,2018-07-03,12pm,8-12ft,5.5,NNW,327,11,18,SE,Offshore,146,12,Epic
Nazare,2018-07-03,6pm,7-10ft,5.0,NNW,330,11,30,SE,Offshore,138,9,Epic
Nazare,2018-08-03,6am,6-10ft,3.5,W,270,15,19,S,Cross/Offshore,184,11,Epic
Nazare,2018-08-03,12pm,6-10ft,3.5,W,271,14,20,SSW,Cross-shore,207,14,Epic
Nazare,2018-08-03,6pm,9-14ft,6.5,W,260,13,21,SW,Cross/Onshore,228,14,Epic
Nazare,2018-09-03,6am,8-12ft,7.5,WSW,248,10,34,SSW,Cross/Offshore,200,15,Epic
Nazare,2018-09-03,12pm,9-14ft,8.5,WSW,256,10,29,SSW,Cross/Offshore,196,16,Epic
Nazare,2018-09-03,6pm,9-14ft,8.5,WSW,254,10,34,SSW,Cross/Offshore,199,15,Epic
Nazare,2018-10-03,6am,14-22ft,12.5,W,265,12,27,SW,Cross/Onshore,230,11,Epic
Nazare,2018-10-03,12pm,16-24ft,13.0,W,266,13,27,SW,Onshore,233,14,Epic
Nazare,2018-10-03,6pm,16-26ft,14.0,W,265,14,34,SW,Cross/Onshore,222,11,Epic
Nazare,2018-11-03,6am,25-45ft,24.0,W,273,16,35,WSW,Onshore,257,9,Epic
Nazare,2018-11-03,12pm,30-45ft,24.0,W,277,16,35,W,Onshore,265,11,Epic
Nazare,2018-11-03,6pm,25-40ft,21.5,WNW,282,15,35,W,Onshore,271,11,Epic
Nazare,2018-12-03,6am,18-30ft,16.0,WNW,291,13,17,W,Onshore,280,9,Epic
Nazare,2018-12-03,12pm,16-26ft,14.0,WNW,296,13,11,WSW,Onshore,251,15,Epic
Nazare,2018-12-03,6pm,12-20ft,10.0,NW,311,12,15,SW,Cross/Onshore,220,13,Epic
Nazare,2018-03-13,6am,8-13ft,6.0,NW,321,11,18,WSW,Onshore,254,12,Epic
Nazare,2018-03-13,12pm,8-12ft,5.5,NW,323,11,11,SW,Onshore,235,16,Epic
Nazare,2018-03-13,6pm,6-10ft,5.0,NNW,328,11,19,SSW,Cross-shore,206,15,Epic
Nazare,2018-03-14,6am,6-9ft,5.5,WSW,256,8,29,SSW,Cross/Offshore,200,14,Epic
Nazare,2018-03-14,12pm,10-16ft,11.5,WSW,258,9,48,SW,Cross/Onshore,219,14,Epic
Nazare,2018-03-14,6pm,16-24ft,14.0,W,276,12,30,WSW,Onshore,251,12,Epic
Nazare,2018-03-15,6am,20-30ft,16.5,W,278,13,27,W,Onshore,265,9,Epic
Nazare,2018-03-15,12pm,20-30ft,17.0,W,279,14,26,W,Onshore,270,12,Epic
Nazare,2018-03-15,6pm,18-30ft,16.0,WNW,281,14,20,WNW,Onshore,285,10,Epic
Nazare,2018-03-16,6am,16-26ft,14.0,WNW,293,13,20,WNW,Onshore,285,7,Epic
Nazare,2018-03-16,12pm,12-18ft,9.0,W,279,12,19,WNW,Onshore,287,12,Epic
Nazare,2018-03-16,6pm,12-18ft,9.5,NW,313,12,20,W,Onshore,274,10,Epic
Nazare,2018-03-17,6am,14-20ft,10.5,NW,313,13,29,WNW,Onshore,288,10,Epic
Nazare,2018-03-17,12pm,12-20ft,10.0,NW,315,13,11,WNW,Onshore,301,11,Epic
Nazare,2018-03-17,6pm,12-18ft,9.0,NW,316,13,1,NW,Onshore,311,8,Epic
Nazare,2018-03-18,6am,10-16ft,7.5,NW,319,13,10,NNW,Onshore,332,8,Epic
Nazare,2018-03-18,12pm,10-16ft,7.0,NW,320,13,17,NW,Onshore,320,13,Epic
Nazare,2018-03-18,6pm,9-14ft,6.5,NW,323,13,18,NW,Onshore,308,10,Epic
Nazare,2018-03-19,6am,10-16ft,7.0,W,275,13,25,SW,Onshore,235,11,Epic
Nazare,2018-03-19,12pm,10-16ft,7.0,W,278,13,21,NW,Onshore,311,12,Epic
Nazare,2018-03-19,6pm,9-14ft,6.0,W,278,12,27,NNW,Onshore,346,9,Epic
Nazare,2018-03-20,6am,8-13ft,5.5,W,280,13,26,NNW,Onshore,342,8,Epic
Nazare,2018-03-20,12pm,10-16ft,6.0,W,279,15,26,N,Onshore,350,12,Epic
Nazare,2018-03-20,6pm,10-16ft,6.5,W,279,14,24,N,Onshore,352,9,Epic
Nazare,2018-03-21,6am,10-16ft,6.0,W,279,14,6,ENE,Offshore,64,4,Epic
Nazare,2018-03-21,12pm,10-16ft,6.0,W,278,15,9,NNE,Cross/Onshore,12,13,Epic
Nazare,2018-03-21,6pm,10-16ft,6.0,W,278,14,19,N,Onshore,353,10,Epic
Nazare,2018-03-22,6am,9-14ft,5.5,W,279,14,1,NE,Cross/Offshore,38,5,Epic
Nazare,2018-03-22,12pm,8-13ft,5.0,W,280,13,11,NW,Onshore,316,14,Epic
Nazare,2018-03-22,6pm,8-12ft,5.0,W,280,13,14,NW,Onshore,317,10,Epic
Nazare,2018-03-23,6am,7-11ft,4.5,WNW,283,12,16,SW,Cross/Onshore,214,11,Epic
Nazare,2018-03-23,12pm,7-11ft,4.5,WNW,284,12,21,WNW,Onshore,286,16,Epic
Nazare,2018-03-23,6pm,8-13ft,6.0,WNW,282,11,28,W,Onshore,261,13,Epic
Nazare,2018-03-24,6am,16-26ft,15.5,NW,309,11,32,NW,Onshore,315,9,Epic
Nazare,2018-03-24,12pm,20-35ft,18.0,NW,312,14,31,NW,Onshore,320,12,Epic
Nazare,2018-03-24,6pm,18-30ft,16.0,NW,312,14,25,NW,Onshore,311,11,Epic
Nazare,2018-03-25,6am,16-24ft,13.0,WNW,303,12,24,NNW,Onshore,329,11,Epic
Nazare,2018-03-25,12pm,12-20ft,11.0,NW,306,11,26,N,Onshore,352,13,Epic
Nazare,2018-03-25,6pm,12-18ft,10.0,NW,312,11,28,NNW,Onshore,345,11,Epic
Nazare,2018-03-26,6am,10-14ft,8.0,NW,313,10,24,N,Onshore,351,8,Epic
Nazare,2018-03-26,12pm,9-14ft,7.0,NW,310,10,21,NNW,Onshore,348,14,Epic
Nazare,2018-03-26,6pm,9-14ft,6.5,NW,308,12,22,NNW,Onshore,342,12,Epic
Nazare,2018-03-27,6am,9-15ft,6.5,WNW,295,12,18,N,Cross/Onshore,4,10,Epic
Nazare,2018-03-27,12pm,9-14ft,5.5,WNW,286,13,16,N,Onshore,351,17,Epic
Nazare,2018-03-27,6pm,8-13ft,5.5,WNW,286,13,14,NNW,Onshore,346,13,Epic
Nazare,2018-03-28,6am,10-16ft,6.5,WNW,292,13,5,N,Onshore,351,8,Epic
Nazare,2018-03-28,12pm,10-16ft,7.0,WNW,293,13,11,NW,Onshore,314,15,Epic
Nazare,2018-03-28,6pm,10-16ft,6.5,WNW,293,12,14,W,Onshore,278,13,Epic
Nazare,2018-03-29,6am,9-14ft,6.0,WNW,295,12,18,NW,Onshore,322,8,Epic
Nazare,2018-03-29,12pm,8-13ft,6.0,WNW,287,11,15,W,Onshore,264,13,Epic
Nazare,2018-03-29,6pm,9-14ft,7.0,WNW,284,11,26,WSW,Onshore,247,11,Epic
Nazare,2018-03-30,6am,18-28ft,15.0,WNW,302,14,20,WNW,Onshore,282,8,Epic
Nazare,2018-03-30,12pm,18-28ft,15.0,WNW,298,14,30,W,Onshore,259,11,Epic
Nazare,2018-03-30,6pm,20-30ft,16.5,WNW,295,14,32,WNW,Onshore,290,10,Epic
Nazare,2018-03-31,6am,20-30ft,15.5,NW,305,14,19,NW,Onshore,314,8,Epic
Nazare,2018-03-31,12pm,16-26ft,13.0,NW,307,13,7,WNW,Onshore,285,15,Epic
Nazare,2018-03-31,6pm,14-20ft,10.5,NW,307,13,10,WSW,Onshore,258,12,Epic
Nazare,2018-01-04,6am,9-14ft,6.0,NW,306,12,17,SE,Offshore,128,7,Mediocre
