date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
18/01,6pm,0-1ft,0.8ft,11s,4,6,mph,15°c,100%,WNW,300,Offshore,E,87
19/01,6am,0-1ft,0.6ft,11s,4,6,mph,12°c,100%,WNW,297,Offshore,E,97
19/01,12pm,1ft,0.6ft,15s,5,6,mph,18°c,100%,SSW,202,Offshore,ENE,56
19/01,6pm,1ft,0.7ft,15s,7,9,mph,15°c,100%,SSW,202,Offshore,NNE,16
20/01,6am,1ft,0.8ft,14s,16,20,mph,12°c,100%,SSW,202,Offshore,N,357
20/01,12pm,1ft,0.8ft,14s,14,15,mph,14°c,100%,SSW,202,Offshore,N,358
20/01,6pm,1-2ft,0.8ft,13s,12,13,mph,13°c,100%,SSW,202,Offshore,NNW,348
21/01,6am,1ft,1.4ft,17s,11,13,mph,10°c,100%,WNW,298,Cross/Offshore,NNW,338
21/01,12pm,1-2ft,1.6ft,16s,11,11,mph,14°c,100%,WNW,296,Cross/Offshore,NNW,339
21/01,6pm,1-2ft,1.5ft,15s,10,11,mph,13°c,100%,WNW,295,Offshore,NNW,341
22/01,6am,1-2ft,1.8ft,14s,6,7,mph,10°c,100%,WNW,287,Cross/Offshore,NNW,337
22/01,12pm,1-2ft,1.8ft,14s,4,5,mph,14°c,100%,WNW,285,Offshore,NNW,349
22/01,6pm,1-2ft,1.7ft,13s,2,4,mph,13°c,100%,WNW,284,Offshore,NNW,342
23/01,6am,1-2ft,1.4ft,12s,3,3,mph,10°c,100%,WNW,282,Onshore,W,273
23/01,12pm,1-2ft,1.2ft,12s,3,4,mph,15°c,100%,W,280,Offshore,NNE,24
23/01,6pm,1ft,1.1ft,11s,2,3,mph,13°c,100%,W,279,Offshore,NE,36
24/01,6am,1-2ft,1ft,17s,1,2,mph,9°c,100%,SSW,204,Onshore,SW,216
24/01,12pm,2ft,1.2ft,17s,3,3,mph,15°c,100%,SSW,204,Offshore,NE,39
24/01,6pm,2-3ft,1.4ft,17s,4,6,mph,14°c,100%,SSW,204,Offshore,N,357
25/01,6am,2-3ft,1.6ft,16s,6,8,mph,10°c,100%,SSW,204,Cross/Onshore,WNW,300
25/01,12pm,2-3ft,1.6ft,15s,10,10,mph,16°c,100%,SSW,204,Offshore,NNW,345
25/01,6pm,2-3ft,1.6ft,15s,8,9,mph,15°c,100%,SSW,204,Offshore,NNW,348
26/01,6am,2-3ft,1.4ft,14s,5,6,mph,11°c,100%,SSW,204,Offshore,N,10
26/01,12pm,2ft,1.3ft,14s,6,5,mph,14°c,100%,SSW,204,Offshore,NE,39
