ds,y
2022-01-01,264.53391778431444
2022-01-02,267.0831554186954
2022-01-03,278.20297690686334
2022-01-04,311.35522810310795
2022-01-05,317.82178071403695
2022-01-06,315.5097887837271
2022-01-07,312.91312740396
2022-01-08,317.83334649643496
2022-01-09,318.33333380350547
2022-01-10,320.79167155125396
2022-01-11,312.53832620861834
2022-01-12,313.2929430907769
2022-01-13,314.79163451825826
2022-01-14,310.1253973466569
2022-01-15,306.79159696622634
2022-01-16,302.99925107777597
2022-01-17,310.75088157485663
2022-01-18,318.6668907475183
2022-01-19,308.437644185509
2022-01-20,301.20769325709495
2022-01-21,301.9310656470204
2022-01-22,336.2918488632002
2022-01-23,287.16664715105765
2022-01-24,296.1669984175522
2022-01-25,304.87474246244
2022-01-26,323.7310892168276
2022-01-27,315.3244414229416
2022-01-28,302.8134269290144
2022-01-29,325.787993622221
2022-01-30,325.5828541099403
2022-01-31,328.9217435624486
2022-02-01,339.916977106814
2022-02-02,338.1674916159465
2022-02-03,333.21764956020337
2022-02-04,308.73668165594654
2022-02-05,321.83330418602554
2022-02-06,326.91667201407716
2022-02-07,327.666640808702
2022-02-08,326.4583322829474
2022-02-09,324.8748724371269
2022-02-10,323.41666460996896
2022-02-11,324.666670427471
2022-02-12,326.16667254303985
2022-02-13,315.89354323840735
2022-02-14,308.4985826280093
2022-02-15,319.5000253860738
2022-02-16,317.16002569733325
2022-02-17,317.58348348556586
2022-02-18,309.2495953074832
2022-02-19,308.54035627357877
2022-02-20,312.916581014573
2022-02-21,313.45845075299997
2022-02-22,318.4639253848461
2022-02-23,316.54076781273056
2022-02-24,316.87479289042153
2022-02-25,321.91666460996896
2022-02-26,320.2920727539563
2022-02-27,311.91611499961584
2022-02-28,309.9181042741246
2022-03-01,314.9105536347396
2022-03-02,325.96386235559225
2022-03-03,289.97382520812613
2022-03-04,303.8233909729859
2022-03-05,305.13967533892605
2022-03-06,310.5411487035257
2022-03-07,302.16720408413465
2022-03-08,302.9575399806594
2022-03-09,298.039949175126
2022-03-10,287.83556602301957
2022-03-11,285.8520270375887
2022-03-12,296.91666355217785
2022-03-13,306.33334415535415
2022-03-14,303.4994604100341
2022-03-15,315.50195649374905
2022-03-16,315.6241763929333
2022-03-17,309.1252338956766
2022-03-18,311.16649055905265
2022-03-19,312.87681896614635
2022-03-20,295.58080909786986
2022-03-21,298.3334311314343
2022-03-22,293.4998921005664
2022-03-23,292.3749970251384
2022-03-24,294.6665857881732
2022-03-25,299.16666196315464
2022-03-26,289.4991856473739
2022-03-27,281.4597448450223
2022-03-28,282.9179340790516
2022-03-29,289.87659146823523
2022-03-30,319.03501608771955
2022-03-31,296.8950264169718
2022-04-01,319.98121711580416
2022-04-02,343.3335284399661
2022-04-03,344.45900491923794
2022-04-04,344.20831258149155
2022-04-05,344.58338087400165
2022-04-06,335.582539343259
2022-04-07,318.3427636090954
2022-04-08,303.37178762084756
2022-04-09,293.80764543562896
2022-04-10,281.2085167372832
2022-04-11,279.4164995183121
2022-04-12,286.6658992837592
2022-04-13,297.12510543472854
2022-04-14,295.41919938440174
2022-04-15,288.96408637098307
2022-04-16,288.0406758537665
2022-04-17,284.54159471480534
2022-04-18,283.70755036266263
2022-04-19,299.8334132042854
2022-04-20,308.34123808009633
2022-04-21,320.02142390558635
2022-04-22,311.2109839329952
2022-04-23,298.86311522387786
2022-04-24,299.04177432197287
2022-04-25,292.72726351207257
2022-04-26,271.6251014277294
2022-04-27,277.3749795619625
2022-04-28,290.60079341348927
2022-04-29,333.2002778823364
2022-04-30,273.71206536165107
2022-05-01,260.95830451674755
2022-05-02,264.519755286422
2022-05-03,330.6956345969331
2022-05-04,333.00001269352026
2022-05-05,336.29172947491213
2022-05-06,340.1663805789218
2022-05-07,343.79196883167305
2022-05-08,303.4451900589778
2022-05-09,306.86628508670515
2022-05-10,314.73204413064246
2022-05-11,307.54166401487174
2022-05-12,314.9600053982129
2022-05-13,322.991075902859
2022-05-14,322.95923369713523
2022-05-15,313.452650637529
2022-05-16,264.4893463697613
2022-05-17,282.665748365622
2022-05-18,285.7083980012791
2022-05-19,290.3333168768602
2022-05-20,297.0787617380182
2022-05-21,296.74713372505863
2022-05-22,291.5836487362649
2022-05-23,304.4651288397551
2022-05-24,305.7537213479501
2022-05-25,321.9223648330752
2022-05-26,328.7919939009494
2022-05-27,330.0416574040008
2022-05-28,328.91629217661244
2022-05-29,327.1666619657328
2022-05-30,309.91082299603784
2022-05-31,276.7625648651979
2022-06-01,248.88255406794468
2022-06-02,252.83963690468005
2022-06-03,256.6668947186926
2022-06-04,264.5454350375327
2022-06-05,323.0633145438533
2022-06-06,286.5826112221189
2022-06-07,286.99997461424846
2022-06-08,290.042086459253
2022-06-09,292.7083377037868
2022-06-10,294.1664227735829
2022-06-11,299.8764848588056
2022-06-12,322.2536813192533
2022-06-13,332.37500178095576
2022-06-14,332.99993652837037
2022-06-15,329.72000657167314
2022-06-16,321.541150724346
2022-06-17,319.2984739029775
2022-06-18,318.16692870460173
2022-06-19,315.2870212391392
2022-06-20,331.83366808328776
2022-06-21,331.70879938217945
2022-06-22,320.2914951625375
2022-06-23,320.84296859977263
2022-06-24,321.50083216698425
2022-06-25,311.2174820734187
2022-06-26,322.58333539003104
2022-06-27,333.11927907083725
2022-06-28,334.7502428445367
2022-06-29,327.70562299459874
2022-06-30,323.2879276582253
2022-07-01,326.75001745317746
2022-07-02,324.5835386710545
2022-07-03,329.7112452347186
2022-07-04,331.333329572529
2022-07-05,332.7916979977523
2022-07-06,336.4587053624694
2022-07-07,342.20837763449975
2022-07-08,343.2500142799384
2022-07-09,340.91666460996896
2022-07-10,338.1305265991012
2022-07-11,322.0004000193875
2022-07-12,319.55814654679875
2022-07-13,299.0832846158965
2022-07-14,304.64374900214784
2022-07-15,339.7916372078504
2022-07-16,300.9788412882901
2022-07-17,277.91663605113945
2022-07-18,289.39840349239563
2022-07-19,292.6401258100218
2022-07-20,313.5160642035895
2022-07-21,325.0416436535806
2022-07-22,331.8762788774297
2022-07-23,334.66711889922493
2022-07-24,327.1757587346298
2022-07-25,305.7976731590595
2022-07-26,310.32597643958695
2022-07-27,327.83382052473627
2022-07-28,323.9885322409684
2022-07-29,311.46027695668874
2022-07-30,325.2086300882982
2022-07-31,330.74999841672474
2022-08-01,330.3334438237183
2022-08-02,327.9583309606812
2022-08-03,327.4171196491854
2022-08-04,325.3752953626104
2022-08-05,328.9602972042636
2022-08-06,334.37487801766986
2022-08-07,333.5839416155388
2022-08-08,334.332690252753
2022-08-09,330.66360666390756
2022-08-10,339.0408508943971
2022-08-11,333.7687520642518
2022-08-12,323.6628842263271
2022-08-13,318.12471329926746
2022-08-14,316.3333718845496
2022-08-15,318.4160530109083
2022-08-16,315.5097356561364
2022-08-17,328.83334649643496
2022-08-18,336.04311420649833
2022-08-19,336.2085575856471
2022-08-20,328.46014453329104
2022-08-21,325.37503510455093
2022-08-22,324.3753016642956
2022-08-23,325.8808510909974
2022-08-24,320.1311131686667
2022-08-25,313.3784776560723
2022-08-26,326.8742507211655
2022-08-27,330.41669317564697
2022-08-28,329.7083191931178
2022-08-29,315.4672573719272
2022-08-30,305.500050771503
2022-08-31,303.40973842269307
2022-09-01,293.4587454316628
2022-09-02,295.8332936086112
2022-09-03,314.701188787609
2022-09-04,315.8332956446509
2022-09-05,309.08329096642944
2022-09-06,313.5000444242596
2022-09-07,312.91669634329963
2022-09-08,316.1168901929254
2022-09-09,286.5367127355768
2022-09-10,283.3333464938569
2022-09-11,282.8425853833299
2022-09-12,275.81911983957747
2022-09-13,260.85958781045474
2022-09-14,267.6690616607449
2022-09-15,286.57112751771785
2022-09-16,296.51246642618923
2022-09-17,278.08333433226676
2022-09-18,279.5833301014782
2022-09-19,282.33335072768
2022-09-20,285.3721809543547
2022-09-21,297.1667698595803
2022-09-22,300.70811236177593
2022-09-23,303.7083583325792
2022-09-24,306.873784941611
2022-09-25,323.5436300992571
2022-09-26,332.2084855188088
2022-09-27,324.8099581655702
2022-09-28,341.16613297231487
2022-09-29,334.5027509585432
2022-09-30,324.58336925299403
2022-10-01,325.4582397284147
2022-10-02,326.37508590820863
2022-10-03,327.45864218880695
2022-10-04,328.6249966277289
2022-10-05,319.50069876520763
2022-10-06,316.32984071453205
2022-10-07,324.70833029980116
2022-10-08,327.1250545483215
2022-10-09,325.91666989658813
2022-10-10,316.5823743099829
2022-10-11,324.54477052754913
2022-10-12,330.4583455042564
2022-10-13,330.1680417356926
2022-10-14,325.5972802843232
2022-10-15,317.2091035378464
2022-10-16,317.33356229298755
2022-10-17,310.584039509504
2022-10-18,284.58102143495194
2022-10-19,266.66498563130716
2022-10-20,283.0016361448994
2022-10-21,287.62499821469333
2022-10-22,282.31948912526104
2022-10-23,287.87523110058805
2022-10-24,297.91639686260135
2022-10-25,261.99771548626995
2022-10-26,270.1754454549523
2022-10-27,285.6356986139368
2022-10-28,282.6910494561096
2022-10-29,287.8268361731233
2022-10-30,291.9006320717186
2022-10-31,284.50589620914286
2022-11-01,305.96209714839085
2022-11-02,311.4965460094625
2022-11-03,304.75511396138484
2022-11-04,319.46109870754685
2022-11-05,323.70823722155484
2022-11-06,306.6399795766728
2022-11-07,308.62515213062665
2022-11-08,304.27643129963934
2022-11-09,305.7918286571314
2022-11-10,306.4583322829474
2022-11-11,301.6674236669952
2022-11-12,295.04235896495027
2022-11-13,287.45836349303084
2022-11-14,297.2564344962195
2022-11-15,299.70521342237373
2022-11-16,307.53870143776845
2022-11-17,305.49994287432463
2022-11-18,300.1664990354574
2022-11-19,310.4380076160437
2022-11-20,314.8750200307303
2022-11-21,309.4995873376252
2022-11-22,318.49461278370944
2022-11-23,304.5447645185705
2022-11-24,303.2919020237636
2022-11-25,302.79164034796423
2022-11-26,305.6667381316886
2022-11-27,298.91608019921335
2022-11-28,299.82894679365324
2022-11-29,314.1252211802968
2022-11-30,295.8330458711103
2022-12-01,285.58334702543794
2022-12-02,285.20761407870236
2022-12-03,294.07306286378434
2022-12-04,308.4991397298588
2022-12-05,317.04865442119734
2022-12-06,205.01214116637894
2022-12-07,254.19048295584622
2022-12-08,232.683386738066
2022-12-09,243.45804345552517
2022-12-10,274.64966214894525
2022-12-11,253.22436722267395
2022-12-12,265.41677250458144
2022-12-13,257.54136900285016
2022-12-14,266.8837395453506
2022-12-15,271.08328038226114
2022-12-16,292.70653726439343
2022-12-17,345.83333380350547
2022-12-18,295.365997938342
2022-12-19,266.9150872854178
2022-12-20,263.16665562079896
2022-12-21,316.22388569951283
2022-12-22,317.68720263910666
2022-12-23,285.58366217124836
2022-12-24,281.08318297975416
2022-12-25,283.16608630518
2022-12-26,285.6828427689368
2022-12-27,325.55051575199354
2022-12-28,332.98363748803274
2022-12-29,306.9024483633773
2022-12-30,299.66510518554475
2022-12-31,282.33639348805144
2023-01-01,280.78923357268104
2023-01-02,291.0415595434019
2023-01-03,296.9581727757122
2023-01-04,297.70376824923835
2023-01-05,300.2082533275822
2023-01-06,297.0834052175389
2023-01-07,291.24967460633036
2023-01-08,305.7921263976301
2023-01-09,309.833914464082
2023-01-10,315.50008250498104
2023-01-11,302.6163430143249
2023-01-12,313.0895384663557
2023-01-13,310.6417212334226
2023-01-14,302.4583322829474
2023-01-15,304.37437177178475
2023-01-16,325.18136559511083
2023-01-17,322.29062130392873
2023-01-18,315.66658580106747
2023-01-19,320.708467351923
2023-01-20,326.29187595327136
2023-01-21,318.1241376092912
2023-01-22,315.4996395115735
2023-01-23,301.04282657127317
2023-01-24,306.20589012774343
2023-01-25,306.5430622023674
2023-01-26,308.31151874811053
2023-01-27,336.41671432470093
