date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/09,6pm,3-5ft,4.5ft,10s,18,19,mph,19°c,100%,NW,319,Onshore,NNE,18
02/09,6am,3-4ft,4ft,9s,7,8,mph,18°c,100%,NW,320,Onshore,NNW,340
02/09,12pm,3-4ft,3.5ft,9s,4,6,mph,20°c,100%,NW,318,Onshore,N,349
02/09,6pm,3-4ft,4ft,9s,10,11,mph,20°c,100%,NW,324,Onshore,NNE,23
03/09,6am,2-3ft,3ft,9s,6,5,mph,18°c,100%,NW,318,Offshore,SSW,202
03/09,12pm,2-3ft,2.5ft,9s,5,7,mph,19°c,100%,NW,319,Onshore,NE,38
03/09,6pm,2-3ft,2.5ft,9s,10,11,mph,21°c,100%,NW,319,Onshore,NE,49
04/09,6am,1-2ft,1.8ft,8s,9,8,mph,18°c,100%,NW,318,Offshore,SW,216
04/09,12pm,1-2ft,1.4ft,11s,14,14,mph,20°c,100%,NW,320,Cross/Offshore,WNW,284
04/09,6pm,2-3ft,3ft,10s,14,15,mph,21°c,100%,NW,317,Cross/Onshore,NW,323
05/09,6am,3-5ft,5ft,9s,15,16,mph,18°c,100%,NNW,331,Onshore,NNW,348
05/09,12pm,3-5ft,5ft,8s,8,9,mph,18°c,100%,NNW,327,Onshore,NNW,337
05/09,6pm,3-5ft,5ft,9s,12,13,mph,19°c,100%,NW,324,Onshore,NNE,12
06/09,6am,4-6ft,5.5ft,11s,13,13,mph,18°c,100%,NW,323,Onshore,NNE,26
06/09,12pm,4-6ft,5.5ft,11s,12,12,mph,18°c,100%,NW,326,Onshore,NE,55
06/09,6pm,3-5ft,5ft,11s,12,12,mph,18°c,100%,NW,326,Onshore,NNE,14
07/09,6am,2-4ft,3.5ft,10s,5,6,mph,18°c,100%,NW,318,Onshore,N,356
07/09,12pm,2-4ft,3ft,10s,7,6,mph,19°c,100%,NW,322,Cross-shore,WNW,302
07/09,6pm,2-3ft,3ft,9s,10,10,mph,19°c,100%,NW,316,Cross/Onshore,NW,323
08/09,6am,4-6ft,5ft,12s,6,8,mph,18°c,100%,NW,323,Onshore,NNE,27
08/09,12pm,3-5ft,4.5ft,12s,4,5,mph,18°c,100%,NW,322,Onshore,NNW,343
08/09,6pm,3-5ft,4ft,11s,10,10,mph,18°c,100%,NW,324,Onshore,NE,47
09/09,6am,2-4ft,3ft,10s,7,7,mph,15°c,100%,NW,322,Offshore,SSW,199
09/09,12pm,2-3ft,3ft,10s,5,5,mph,17°c,100%,NW,320,Cross/Offshore,W,280
09/09,6pm,2-3ft,2.5ft,9s,14,16,mph,19°c,100%,NW,319,Cross-shore,WNW,295
10/09,6am,3-5ft,6.5ft,7s,24,28,mph,17°c,100%,NW,316,Cross/Onshore,NW,307
10/09,12pm,4-7ft,8ft,8s,23,26,mph,17°c,100%,NW,321,Onshore,NNW,333
10/09,6pm,5-7ft,8ft,10s,21,24,mph,19°c,100%,NW,322,Onshore,N,8
