date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
19/01,12pm,Plano,4.5ft,13s,9,10,mph,29°c,100%,SSW,205,Onshore,SW,230
19/01,6pm,Plano,4ft,12s,5,5,mph,29°c,100%,SSW,205,Onshore,SW,230
20/01,6am,Plano,3.5ft,12s,8,9,mph,29°c,100%,SSW,206,Onshore,W,262
20/01,12pm,Plano,3.5ft,12s,10,10,mph,29°c,100%,SSW,206,Onshore,WSW,238
20/01,6pm,Plano,3.5ft,12s,6,7,mph,29°c,100%,SSW,205,Onshore,WSW,248
21/01,6am,Plano,4.5ft,13s,6,6,mph,28°c,100%,SSW,206,Cross/Onshore,WNW,293
21/01,12pm,Plano,4.5ft,13s,7,7,mph,29°c,100%,SSW,206,Onshore,WSW,240
21/01,6pm,Plano,4.5ft,13s,3,2,mph,29°c,100%,SSW,206,Onshore,SW,230
22/01,6am,Plano,4.5ft,12s,3,3,mph,28°c,100%,SSW,205,Cross-shore,NW,307
22/01,12pm,Plano,4ft,12s,8,8,mph,29°c,100%,SSW,205,Onshore,SSW,208
22/01,6pm,Plano,4ft,12s,4,4,mph,30°c,100%,SSW,205,Onshore,SSW,196
23/01,6am,Plano,4ft,11s,3,2,mph,28°c,100%,SSW,203,Offshore,NNE,13
23/01,12pm,Plano,3.5ft,17s,5,5,mph,29°c,100%,SW,214,Onshore,SSW,208
23/01,6pm,Plano,4ft,16s,2,2,mph,30°c,100%,SW,214,Cross/Onshore,SSE,152
24/01,6am,Plano,6ft,15s,4,4,mph,28°c,100%,SSW,209,Offshore,NNE,23
24/01,12pm,Plano,6ft,15s,7,7,mph,30°c,100%,SSW,208,Onshore,S,175
24/01,6pm,Plano,6ft,14s,4,4,mph,29°c,100%,SSW,208,Offshore,E,95
25/01,6am,Plano,5.5ft,14s,3,2,mph,28°c,100%,SSW,207,Offshore,NNE,25
25/01,12pm,Plano,5ft,13s,6,6,mph,29°c,100%,SSW,207,Onshore,S,187
25/01,6pm,Plano,5ft,13s,4,4,mph,29°c,100%,SSW,206,Cross/Onshore,SE,146
26/01,6am,Plano,4.5ft,12s,3,4,mph,28°c,100%,SSW,206,Offshore,ENE,60
26/01,12pm,Plano,4ft,12s,6,5,mph,29°c,100%,SSW,205,Onshore,S,179
26/01,6pm,Plano,4ft,11s,3,4,mph,29°c,100%,SSW,205,Cross/Offshore,ESE,123
27/01,6am,Plano,3.5ft,11s,5,6,mph,28°c,100%,SSW,204,Offshore,ENE,67
27/01,12pm,Plano,3.5ft,11s,7,6,mph,29°c,100%,SSW,203,Cross/Onshore,SE,142
27/01,6pm,Plano,3ft,10s,4,4,mph,30°c,100%,SSW,203,Onshore,SSE,158
28/01,6am,Plano,3ft,10s,2,2,mph,28°c,100%,SSW,202,Offshore,E,79
28/01,12pm,Plano,2.5ft,10s,5,5,mph,30°c,100%,SSW,200,Onshore,S,183
28/01,6pm,Plano,2.5ft,9s,1,2,mph,30°c,100%,SSW,199,Onshore,SSW,192
29/01,6am,Plano,1.9ft,15s,5,5,mph,29°c,100%,SW,219,Offshore,N,354
29/01,12pm,Plano,2ft,15s,9,9,mph,30°c,100%,SW,221,Onshore,SW,216
29/01,6pm,Plano,2.5ft,14s,5,6,mph,29°c,100%,SW,220,Onshore,WSW,257
30/01,6am,Plano,1.9ft,14s,3,4,mph,28°c,100%,SW,217,Offshore,NNW,347
30/01,12pm,Plano,2ft,13s,22,23,mph,27°c,100%,SW,228,Cross-shore,NW,309
30/01,6pm,Plano,5ft,5s,20,24,mph,28°c,100%,W,266,Onshore,W,265
31/01,6am,Plano,2ft,14s,9,10,mph,28°c,100%,SW,216,Cross-shore,NW,308
31/01,12pm,Plano,3ft,7s,5,7,mph,29°c,100%,WSW,258,Onshore,W,264
31/01,6pm,Plano,3ft,7s,8,8,mph,29°c,100%,SSW,197,Onshore,WSW,246
01/02,6am,Plano,3ft,9s,4,4,mph,28°c,100%,SSW,194,Cross/Offshore,NNW,330
01/02,12pm,Plano,3ft,9s,7,7,mph,29°c,100%,SSW,193,Onshore,SSW,212
