date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
14/11,12pm,Plano,4ft,11s,8,9,mph,28°c,100%,SSW,211,Onshore,S,190
14/11,6pm,Plano,4.5ft,13s,4,5,mph,27°c,100%,SW,214,Cross-shore,SE,127
15/11,6am,Plano,4.5ft,12s,2,2,mph,26°c,100%,SSW,211,Cross/Offshore,NW,321
15/11,12pm,Plano,3.5ft,12s,9,10,mph,28°c,100%,SW,217,Onshore,SSW,199
15/11,6pm,Plano,3ft,15s,3,4,mph,28°c,100%,SW,218,Onshore,SSE,157
16/11,6am,Plano,3.5ft,14s,4,4,mph,26°c,100%,SW,219,Cross-shore,NW,306
16/11,12pm,Plano,4.5ft,14s,6,7,mph,28°c,100%,SSW,209,Onshore,SSW,200
16/11,6pm,Plano,3.5ft,15s,6,7,mph,28°c,100%,SW,221,Cross/Onshore,SSE,154
17/11,6am,Plano,4ft,14s,2,2,mph,26°c,100%,SW,222,Cross/Offshore,NNW,332
17/11,12pm,Plano,4.5ft,14s,6,6,mph,28°c,100%,SSW,212,Onshore,S,182
17/11,6pm,Plano,4ft,14s,8,12,mph,28°c,100%,SW,222,Cross/Onshore,SE,140
18/11,6am,Plano,3.5ft,13s,1,1,mph,26°c,100%,SW,223,Cross/Onshore,WNW,299
18/11,12pm,Plano,3.5ft,13s,7,8,mph,28°c,100%,SW,223,Cross/Onshore,SSE,153
18/11,6pm,Plano,3.5ft,13s,5,5,mph,27°c,100%,SW,222,Cross/Onshore,SE,140
19/11,6am,Plano,3ft,12s,2,3,mph,27°c,100%,SW,221,Cross/Offshore,ESE,106
19/11,12pm,Plano,2.5ft,12s,9,10,mph,28°c,100%,SW,221,Cross/Onshore,SSE,153
19/11,6pm,Plano,2.5ft,12s,6,7,mph,28°c,100%,SW,220,Cross/Onshore,SSE,151
20/11,6am,Plano,2ft,12s,6,6,mph,27°c,100%,SW,219,Onshore,SSE,155
20/11,12pm,Plano,2ft,16s,7,7,mph,28°c,100%,SW,218,Onshore,SSE,168
20/11,6pm,Plano,3ft,15s,5,5,mph,27°c,100%,SW,218,Cross/Onshore,SSE,152
21/11,6am,Plano,3.5ft,15s,4,4,mph,26°c,100%,SW,217,Offshore,NNW,339
21/11,12pm,Plano,4ft,14s,7,7,mph,28°c,100%,SW,217,Onshore,SSE,159
21/11,6pm,Plano,4ft,14s,4,5,mph,28°c,100%,SW,216,Cross/Onshore,SE,135
22/11,6am,Plano,5ft,13s,8,9,mph,27°c,100%,SSW,210,Cross/Onshore,SE,141
22/11,12pm,Plano,5ft,13s,8,8,mph,28°c,100%,SSW,209,Onshore,S,180
22/11,6pm,Plano,4.5ft,13s,7,8,mph,28°c,100%,SSW,208,Cross/Onshore,SE,135
23/11,6am,Plano,5.5ft,14s,1,3,mph,27°c,100%,SSW,204,Onshore,S,183
23/11,12pm,Plano,6ft,13s,8,9,mph,28°c,100%,SSW,204,Onshore,S,177
23/11,6pm,Plano,6ft,13s,9,10,mph,28°c,100%,SSW,204,Cross/Onshore,SE,143
24/11,6am,Plano,5.5ft,12s,4,5,mph,27°c,100%,SSW,206,Onshore,S,190
24/11,12pm,Plano,5ft,12s,9,9,mph,28°c,100%,SSW,206,Onshore,S,177
24/11,6pm,Plano,4.5ft,12s,4,3,mph,28°c,100%,SSW,207,Onshore,SSW,196
25/11,6am,Plano,5ft,15s,7,7,mph,27°c,100%,SSW,202,Onshore,W,281
25/11,12pm,Plano,5ft,15s,9,10,mph,28°c,100%,SSW,203,Onshore,SW,218
25/11,6pm,Plano,6ft,14s,5,6,mph,28°c,100%,SSW,204,Onshore,WSW,240
26/11,6am,Plano,5ft,13s,9,9,mph,27°c,100%,SSW,205,Onshore,W,276
26/11,12pm,Plano,5ft,13s,8,9,mph,28°c,100%,SSW,205,Onshore,SW,228
26/11,6pm,Plano,4.5ft,12s,5,5,mph,28°c,100%,SSW,205,Onshore,SW,232
27/11,6am,Plano,4ft,12s,3,3,mph,27°c,100%,SSW,205,Onshore,WSW,249
27/11,12pm,Plano,3.5ft,12s,8,8,mph,28°c,100%,SSW,204,Onshore,S,175
27/11,6pm,Plano,3.5ft,12s,4,4,mph,28°c,100%,SSW,203,Cross/Onshore,SE,137
28/11,6am,Plano,4.5ft,14s,1,2,mph,27°c,100%,SSW,207,Cross/Offshore,ESE,114
28/11,12pm,Plano,3.5ft,13s,9,10,mph,29°c,100%,SSW,210,Cross/Onshore,SSE,155
28/11,6pm,Plano,4ft,13s,9,12,mph,29°c,100%,SSW,206,Cross/Offshore,ESE,123
29/11,6am,Plano,3ft,12s,7,9,mph,29°c,100%,SSW,213,Cross/Offshore,ESE,114
29/11,12pm,Plano,3.5ft,12s,12,13,mph,29°c,100%,SSW,194,Onshore,SSE,157
29/11,6pm,Plano,3.5ft,11s,9,10,mph,29°c,100%,SSW,195,Cross-shore,SE,128
30/11,6am,Plano,2.5ft,13s,3,4,mph,28°c,100%,SW,223,Offshore,E,98
30/11,12pm,Plano,2.5ft,13s,10,11,mph,29°c,100%,SW,223,Cross/Onshore,SE,145
30/11,6pm,Plano,2.5ft,13s,9,10,mph,29°c,100%,SW,222,Cross-shore,SE,129
01/12,6am,Plano,3ft,10s,3,4,mph,27°c,100%,S,189,Offshore,NE,35
01/12,12pm,Plano,3ft,10s,9,9,mph,29°c,100%,SSW,192,Onshore,SSE,168
01/12,6pm,Plano,3.5ft,10s,10,10,mph,29°c,100%,SSW,195,Onshore,SSE,165
02/12,6am,Plano,4.5ft,11s,6,6,mph,28°c,100%,SSW,197,Onshore,SW,236
02/12,12pm,Plano,4.5ft,11s,10,11,mph,29°c,100%,SSW,198,Onshore,SW,227
02/12,6pm,Plano,4ft,10s,7,9,mph,28°c,100%,SSW,198,Onshore,WSW,254
03/12,6am,Plano,3.5ft,11s,8,8,mph,28°c,100%,SSW,202,Onshore,W,276
03/12,12pm,Plano,3ft,17s,11,12,mph,28°c,100%,SW,225,Onshore,SW,226
03/12,6pm,Plano,3ft,16s,9,9,mph,28°c,100%,SW,225,Onshore,WSW,255
04/12,6am,Plano,3.5ft,15s,5,5,mph,28°c,100%,SW,227,Onshore,SW,222
04/12,12pm,Plano,4ft,15s,6,6,mph,29°c,100%,SW,227,Onshore,SSW,207
04/12,6pm,Plano,4ft,15s,3,3,mph,29°c,100%,SW,228,Onshore,S,184
05/12,6am,Plano,4ft,15s,3,2,mph,28°c,100%,SW,229,Offshore,NE,38
05/12,12pm,Plano,4.5ft,15s,8,9,mph,29°c,100%,SW,230,Cross/Onshore,SSE,151
05/12,6pm,Plano,4.5ft,14s,4,5,mph,29°c,100%,SW,230,Cross/Offshore,ESE,113
06/12,6am,Plano,4.5ft,14s,2,2,mph,28°c,100%,SW,229,Offshore,ENE,58
06/12,12pm,Plano,4.5ft,14s,8,7,mph,30°c,100%,SW,228,Cross/Onshore,SSE,147
06/12,6pm,Plano,4.5ft,14s,7,8,mph,29°c,100%,SW,228,Cross/Onshore,SE,145
