ds,y
2022-01-01,256.95818274935976
2022-01-02,262.083290834538
2022-01-03,273.0836728172348
2022-01-04,273.33337188422706
2022-01-05,325.6060196555152
2022-01-06,279.55340639386725
2022-01-07,275.7082959148547
2022-01-08,276.9169471299668
2022-01-09,277.58339463159757
2022-01-10,274.58331423501426
2022-01-11,274.74994446344203
2022-01-12,276.0
2022-01-13,275.74999524026214
2022-01-14,277.29166970019884
2022-01-15,275.20832157326737
2022-01-16,275.08332269573197
2022-01-17,271.1250529747175
2022-01-18,274.0419639818682
2022-01-19,274.5832137312673
2022-01-20,272.29167340233266
2022-01-21,273.20827344728036
2022-01-22,272.5833322168188
2022-01-23,274.29166229621313
2022-01-24,275.1666619657328
2022-01-25,277.4583439179297
2022-01-26,277.4583671878943
2022-01-27,277.8317204242012
2022-01-28,273.83329994999997
2022-01-29,288.0939497856891
2022-01-30,279.87504225330883
2022-01-31,278.1253850394995
2022-02-01,277.5416730058957
2022-02-02,284.1671188569988
2022-02-03,281.12488002090265
2022-02-04,275.82737758040366
2022-02-05,283.1215466600284
2022-02-06,283.87528674441097
2022-02-07,278.2499952402622
2022-02-08,279.124986315194
2022-02-09,280.12502280806535
2022-02-10,280.583626357064
2022-02-11,281.1666598480153
2022-02-12,269.3754484249
2022-02-13,269.29298242337353
2022-02-14,272.4987091184064
2022-02-15,275.0853255415781
2022-02-16,285.41874215638427
2022-02-17,276.41622989032726
2022-02-18,268.45514601404193
2022-02-19,274.45835079742335
2022-02-20,279.79193296903276
2022-02-21,277.8334480837098
2022-02-22,275.0007238159179
2022-02-23,277.29158719268344
2022-02-24,279.20829776688663
2022-02-25,278.5833237535231
2022-02-26,275.41665509033226
2022-02-27,274.333295723428
2022-02-28,272.2082908927241
2022-03-01,273.7499857190948
2022-03-02,269.2084633222028
2022-03-03,271.12485929273566
2022-03-04,274.7916662627599
2022-03-05,271.3347952210303
2022-03-06,266.83337188551644
2022-03-07,274.62944182767706
2022-03-08,269.0646695162385
2022-03-09,261.7083800170563
2022-03-10,268.00213663768034
2022-03-11,265.458839971597
2022-03-12,270.2499983817395
2022-03-13,259.6685421713957
2022-03-14,273.1249307805622
2022-03-15,275.45830901040495
2022-03-16,279.4580752335469
2022-03-17,275.58332481279115
2022-03-18,275.83333168804404
2022-03-19,276.62472993385865
2022-03-20,265.49897779460025
2022-03-21,267.62501249483563
2022-03-22,268.16667677433855
2022-03-23,266.7083377037868
2022-03-24,266.5
2022-03-25,266.2499952402622
2022-03-26,268.5000507747255
2022-03-27,267.7083191931178
2022-03-28,267.66669158315904
2022-03-29,264.41664980183316
2022-03-30,265.29160940125564
2022-03-31,327.1263079098589
2022-04-01,330.6595056836265
2022-04-02,329.66021939196906
2022-04-03,284.7223106090466
2022-04-04,280.33340761394567
2022-04-05,283.5426022860115
2022-04-06,289.3321910399118
2022-04-07,275.5422860200804
2022-04-08,270.80549135011836
2022-04-09,262.0158469031726
2022-04-10,260.83327030017426
2022-04-11,256.8333697787601
2022-04-12,252.99936528507226
2022-04-13,254.95829128605797
2022-04-14,257.8333380342672
2022-04-15,263.12553718806214
2022-04-16,266.5416534364873
2022-04-17,265.5416386284892
2022-04-18,270.3332999551583
2022-04-19,275.0416584612834
2022-04-20,276.95833254739057
2022-04-21,280.2499414965737
2022-04-22,279.5002221404642
2022-04-23,312.200894562385
2022-04-24,356.333143236059
2022-04-25,323.09565021454506
2022-04-26,266.3912148971908
2022-04-27,282.1503127458755
2022-04-28,22.224394674756525
2022-04-29,308.4993669836647
2022-04-30,265.83509563162266
2022-05-01,258.291665998159
2022-05-02,256.66649697795407
2022-05-03,259.20815393537805
2022-05-04,262.0416854357852
2022-05-05,274.33644043131767
2022-05-06,275.8284706934834
2022-05-07,274.2104953798256
2022-05-08,267.70833082942937
2022-05-09,265.79160385520066
2022-05-10,272.5835100698999
2022-05-11,274.791555194397
2022-05-12,277.3333211096092
2022-05-13,279.70833347261566
2022-05-14,278.916661436515
2022-05-15,278.0416648083624
2022-05-16,276.7113945513489
2022-05-17,253.82603426978216
2022-05-18,258.7500269803072
2022-05-19,266.2099806331703
2022-05-20,266.8749787789192
2022-05-21,272.29203776823914
2022-05-22,269.6249886954443
2022-05-23,274.95846853429407
2022-05-24,276.9581971598508
2022-05-25,281.29183527669926
2022-05-26,281.41664980183316
2022-05-27,277.7500079272535
2022-05-28,278.5416777660841
2022-05-29,282.9199973795011
2022-05-30,275.416375896367
2022-05-31,294.8855255812718
2022-06-01,279.5416677170525
2022-06-02,250.57153079757336
2022-06-03,248.68804086998168
2022-06-04,2.2494605027242756
2022-06-05,307.93140743946145
2022-06-06,265.7501095145817
2022-06-07,261.83196284578423
2022-06-08,264.99398477599556
2022-06-09,272.04177064949886
2022-06-10,271.7500015863376
2022-06-11,271.2083184007348
2022-06-12,273.8749169103279
2022-06-13,279.5001142489333
2022-06-14,278.7075488579051
2022-06-15,280.6250299551938
2022-06-16,273.54161006836534
2022-06-17,276.45840368424285
2022-06-18,289.910948498242
2022-06-19,309.6337196662548
2022-06-20,348.999898444105
2022-06-21,281.0707390214867
2022-06-22,280.37565354069255
2022-06-23,280.2077964207771
2022-06-24,277.08353642006216
2022-06-25,273.5416465627004
2022-06-26,277.12513387672374
2022-06-27,278.4999428346703
2022-06-28,266.41685999805657
2022-06-29,275.2502523330577
2022-06-30,275.7916979977523
2022-07-01,278.62515213062665
2022-07-02,273.20410992407426
2022-07-03,280.6250172633428
2022-07-04,288.7103880187525
2022-07-05,283.58315555385934
2022-07-06,284.49895231479934
2022-07-07,283.16456973246727
2022-07-08,283.291665998159
2022-07-09,280.9583108601205
2022-07-10,278.0833301014782
2022-07-11,279.1666725430398
2022-07-12,277.4999936535621
2022-07-13,274.95833413397906
2022-07-14,273.2923319456647
2022-07-15,276.916350483085
2022-07-16,279.33338034940306
2022-07-17,277.37239091832043
2022-07-18,282.041637834626
2022-07-19,275.8747152684133
2022-07-20,277.16698370803937
2022-07-21,278.45830636714476
2022-07-22,272.37489533292745
2022-07-23,267.66682280580835
2022-07-24,263.79135262113914
2022-07-25,276.20861961407655
2022-07-26,274.04155795617044
2022-07-27,269.2083363815878
2022-07-28,264.88188861916774
2022-07-29,257.37903625167405
2022-07-30,272.12474149142304
2022-07-31,278.12469739890633
2022-08-01,273.12466096017357
2022-08-02,276.0416182559181
2022-08-03,275.49604790657975
2022-08-04,280.5000951980176
2022-08-05,281.00099123950946
2022-08-06,282.4582857389365
2022-08-07,281.45832223391585
2022-08-08,298.27303669745794
2022-08-09,287.16668735094737
2022-08-10,284.6666577347026
2022-08-11,284.62501090847536
2022-08-12,281.6249871082382
2022-08-13,282.2044176430679
2022-08-14,294.1291509589115
2022-08-15,276.79167519128794
2022-08-16,302.26092419252257
2022-08-17,336.0220729253396
2022-08-18,298.090220431339
2022-08-19,284.1251069172432
2022-08-20,282.04201339225307
2022-08-21,276.54165343261946
2022-08-22,268.4158937376539
2022-08-23,266.41655458185926
2022-08-24,270.2088332211847
2022-08-25,281.7512587138612
2022-08-26,280.2916718161066
2022-08-27,276.3332788021001
2022-08-28,277.29189983123354
2022-08-29,272.9543572304896
2022-08-30,11.25028079346589
2022-08-31,10.59180378370803
2022-09-01,358.9957224540023
2022-09-02,302.3463303680293
2022-09-03,274.5796457309419
2022-09-04,260.3721686568276
2022-09-05,244.08636223092262
2022-09-06,250.041792797286
2022-09-07,254.91672279578555
2022-09-08,260.0413590779214
2022-09-09,268.1383589541614
2022-09-10,262.74279139441785
2022-09-11,261.1282030025962
2022-09-12,256.0417246413058
2022-09-13,300.7110482753509
2022-09-14,317.84595389133534
