date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
18/01,6pm,5-7ft,5.5ft,13s,13,15,mph,24°c,100%,S,191,Cross/Onshore,ESE,113
19/01,6am,6-9ft,6.5ft,15s,5,6,mph,22°c,100%,S,185,Offshore,NE,39
19/01,12pm,6-9ft,6.5ft,15s,7,8,mph,25°c,100%,S,184,Onshore,SE,136
19/01,6pm,5-8ft,6ft,14s,12,14,mph,24°c,100%,S,184,Onshore,SE,125
20/01,6am,4-7ft,5ft,14s,3,4,mph,23°c,100%,S,184,Cross/Offshore,ENE,75
20/01,12pm,4-6ft,4.5ft,13s,6,5,mph,24°c,100%,S,184,Onshore,SSW,197
20/01,6pm,4-6ft,4ft,13s,12,15,mph,24°c,100%,S,184,Onshore,SSE,151
21/01,6am,3-5ft,3ft,12s,7,7,mph,22°c,100%,S,184,Offshore,N,356
21/01,12pm,3-4ft,3ft,12s,8,8,mph,24°c,100%,S,183,Onshore,S,171
21/01,6pm,3-4ft,2.5ft,12s,8,11,mph,25°c,100%,S,182,Onshore,SE,135
22/01,6am,2-3ft,2.5ft,11s,5,5,mph,22°c,100%,S,183,Offshore,N,353
22/01,12pm,2-3ft,2ft,11s,12,11,mph,24°c,100%,S,183,Onshore,SSE,161
22/01,6pm,2-3ft,2ft,11s,10,16,mph,25°c,100%,S,184,Cross/Onshore,ESE,112
23/01,6am,2ft,1.6ft,10s,6,6,mph,23°c,100%,S,186,Offshore,NNE,15
23/01,12pm,1-2ft,2ft,7s,1,1,mph,25°c,100%,SSE,147,Onshore,SW,230
23/01,6pm,2ft,2ft,7s,7,8,mph,22°c,100%,SSE,152,Cross/Onshore,ESE,106
24/01,6am,2-3ft,2.5ft,8s,6,6,mph,22°c,100%,SSE,152,Offshore,NNE,34
24/01,12pm,3-5ft,4.5ft,11s,2,3,mph,23°c,100%,SSE,157,Onshore,SW,215
24/01,6pm,3-5ft,4.5ft,10s,11,14,mph,24°c,100%,SSE,162,Onshore,SW,223
25/01,6am,3-5ft,4ft,9s,13,17,mph,23°c,100%,S,170,Cross/Onshore,W,266
25/01,12pm,3-5ft,4ft,9s,17,20,mph,25°c,100%,S,172,Onshore,SW,235
25/01,6pm,3-5ft,4.5ft,9s,8,11,mph,25°c,100%,S,176,Onshore,SSW,210
26/01,6am,3-5ft,4ft,9s,5,5,mph,22°c,100%,S,175,Offshore,NNE,11
26/01,12pm,3-4ft,3.5ft,8s,10,9,mph,25°c,100%,S,173,Onshore,SE,135
26/01,6pm,3-4ft,3.5ft,8s,12,17,mph,25°c,100%,SSE,168,Cross/Onshore,E,100
27/01,6am,2-3ft,2.5ft,8s,4,4,mph,23°c,100%,S,171,Offshore,NNE,33
27/01,12pm,2-3ft,2ft,8s,12,12,mph,26°c,100%,S,172,Cross/Onshore,ESE,113
27/01,6pm,1-2ft,1.7ft,8s,14,19,mph,26°c,100%,S,173,Cross-shore,E,90
28/01,6am,1ft,1ft,7s,6,7,mph,24°c,100%,S,173,Offshore,NNE,18
28/01,12pm,1ft,0.8ft,7s,13,12,mph,27°c,100%,S,172,Onshore,SE,137
28/01,6pm,1ft,0.8ft,10s,7,10,mph,26°c,100%,ESE,120,Cross-shore,E,98
29/01,6am,1-2ft,1.2ft,10s,6,7,mph,24°c,100%,S,185,Offshore,NNE,11
29/01,12pm,1-2ft,1ft,10s,12,13,mph,27°c,100%,S,189,Cross/Onshore,ESE,118
29/01,6pm,1-2ft,1ft,11s,12,15,mph,27°c,100%,S,181,Cross-shore,E,92
30/01,6am,2-3ft,2ft,10s,7,8,mph,26°c,100%,S,190,Offshore,N,2
30/01,12pm,2-3ft,2ft,10s,5,8,mph,31°c,100%,SSW,192,Onshore,SE,139
30/01,6pm,2-3ft,1.9ft,13s,9,10,mph,28°c,100%,S,180,Cross-shore,E,99
31/01,6am,2-4ft,2.5ft,12s,7,9,mph,26°c,100%,S,186,Offshore,N,2
31/01,12pm,2-3ft,2ft,11s,9,11,mph,30°c,100%,S,186,Onshore,SSE,148
31/01,6pm,2-3ft,1.9ft,11s,3,4,mph,27°c,100%,S,186,Cross/Offshore,E,80
01/02,6am,1-2ft,1.3ft,10s,5,6,mph,26°c,100%,S,186,Offshore,NE,39
01/02,12pm,1-2ft,1.1ft,9s,11,12,mph,28°c,100%,S,186,Onshore,SSW,196
01/02,6pm,1-2ft,1ft,9s,8,9,mph,27°c,100%,S,186,Onshore,WSW,247
02/02,6am,1ft,0.9ft,9s,3,4,mph,25°c,100%,SSW,193,Onshore,SSW,195
02/02,12pm,1ft,1ft,8s,8,8,mph,25°c,100%,SSW,196,Onshore,S,174
02/02,6pm,1-2ft,1.6ft,9s,5,5,mph,26°c,100%,SSW,195,Onshore,S,175
03/02,6am,2-3ft,2.5ft,8s,6,7,mph,24°c,100%,S,187,Offshore,NE,35
03/02,12pm,2-3ft,2.5ft,7s,14,16,mph,26°c,100%,S,186,Cross/Onshore,ESE,111
03/02,6pm,1-2ft,1.9ft,7s,13,20,mph,25°c,100%,S,171,Cross-shore,E,90
04/02,6am,3-5ft,5ft,8s,4,5,mph,24°c,100%,SSE,149,Offshore,N,11
04/02,12pm,2-4ft,4.5ft,8s,4,5,mph,25°c,100%,SE,142,Offshore,NW,315
04/02,6pm,2-3ft,3.5ft,7s,3,4,mph,25°c,100%,SE,138,Cross/Offshore,ENE,70
05/02,6am,2-3ft,3.5ft,8s,5,6,mph,24°c,100%,SE,137,Offshore,NNE,15
05/02,12pm,2-3ft,3.5ft,8s,11,14,mph,24°c,100%,SE,134,Offshore,NNW,343
05/02,6pm,2-3ft,3.5ft,8s,13,20,mph,25°c,100%,SE,127,Offshore,ENE,69
06/02,6am,2-3ft,3.5ft,8s,6,8,mph,23°c,100%,SE,129,Offshore,NE,48
06/02,12pm,2-3ft,3.5ft,8s,10,15,mph,23°c,100%,SE,130,Offshore,NE,47
06/02,6pm,2-3ft,3.5ft,8s,10,14,mph,24°c,100%,SE,130,Offshore,ENE,66
07/02,6am,2-3ft,4ft,8s,7,8,mph,23°c,100%,SE,129,Offshore,NE,47
07/02,12pm,2-3ft,4ft,8s,12,15,mph,27°c,100%,SE,128,Cross/Offshore,E,88
07/02,6pm,2-3ft,5ft,8s,18,26,mph,25°c,100%,ESE,121,Cross-shore,E,91
08/02,6am,2-3ft,4ft,8s,7,8,mph,23°c,100%,ESE,118,Offshore,NE,48
08/02,12pm,2-3ft,3.5ft,8s,11,11,mph,27°c,100%,ESE,120,Onshore,ESE,122
08/02,6pm,2-3ft,4ft,8s,17,22,mph,26°c,100%,ESE,115,Cross-shore,E,95
09/02,6am,2-3ft,3.5ft,8s,7,8,mph,24°c,100%,ESE,115,Offshore,NNE,14
09/02,12pm,1-2ft,3ft,8s,14,17,mph,30°c,100%,ESE,114,Offshore,NW,316
09/02,6pm,1-2ft,3ft,8s,2,5,mph,28°c,100%,ESE,119,Offshore,NE,40
10/02,6am,1-2ft,2.5ft,9s,3,4,mph,25°c,100%,ESE,119,Cross/Onshore,ESE,108
10/02,12pm,1-2ft,2ft,9s,9,9,mph,25°c,100%,ESE,120,Onshore,SSW,209
10/02,6pm,2-3ft,2.5ft,6s,14,19,mph,24°c,100%,S,185,Onshore,SSE,149
11/02,6am,3-5ft,5ft,7s,12,14,mph,24°c,100%,S,173,Onshore,S,176
11/02,12pm,3-4ft,4ft,8s,8,10,mph,23°c,100%,S,186,Cross/Onshore,WSW,253
11/02,6pm,3-4ft,3.5ft,9s,7,8,mph,24°c,100%,S,186,Onshore,SSE,157
12/02,6am,3-4ft,2.5ft,12s,3,3,mph,23°c,100%,S,175,Offshore,NW,315
12/02,12pm,4-6ft,4.5ft,11s,3,6,mph,23°c,100%,S,177,Cross/Onshore,ESE,103
12/02,6pm,4-6ft,4.5ft,11s,0,1,mph,22°c,100%,S,175,Onshore,WSW,249
13/02,6am,3-5ft,5ft,9s,1,1,mph,22°c,100%,SSE,161,Offshore,NNE,16
